Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Lugo provincia,1.056 €/m2,"0,012","0,017","0,041",1.616 €/m2 mayo 2011,"- 34,7 %",2024
Lugo,1.364 €/m2,"0,015","0,035","0,084",1.918 €/m2 jun 2011,"- 28,9 %",2024
Ourense provincia,1.092 €/m2,"- 0,3 %","- 0,9 %","- 4,6 %",1.531 €/m2 nov 2011,"- 28,7 %",2024
Ourense,1.495 €/m2,"0,002","0,004","0,012",1.914 €/m2 nov 2011,"- 21,9 %",2024
Pontevedra provincia,1.715 €/m2,"- 0,3 %","0,014","0,066",1.935 €/m2 jun 2007,"- 11,4 %",2024
Pontevedra,2.005 €/m2,"- 0,2 %","0,035","0,056",2.154 €/m2 mayo 2025,"- 6,9 %",2024
La Rioja,1.349 €/m2,"0,007","0,008","0,016",1.652 €/m2 ene 2008,"- 18,3 %",2024
La Rioja,1.349 €/m2,"0,007","0,008","0,016",1.652 €/m2 ene 2008,"- 18,3 %",2024
Logroño,1.800 €/m2,"0,015","0,02","0,043",1.993 €/m2 abr 2011,"- 9,7 %",2024
Madrid Comunidad,3.771 €/m2,"0,016","0,057","0,175",4.234 €/m2 mayo 2025,"- 10,9 %",2024
Madrid provincia,3.771 €/m2,"0,016","0,057","0,175",4.234 €/m2 mayo 2025,"- 10,9 %",2024
Madrid,4.952 €/m2,"0,012","0,041","0,202",5.573 €/m2 mayo 2025,"- 11,1 %",2024
Melilla,1.994 €/m2,"0,004","0,026","0,031",2.073 €/m2 mayo 2025,"- 3,8 %",2024
Melilla provincia,1.994 €/m2,"0,004","0,026","0,031",2.073 €/m2 mayo 2025,"- 3,8 %",2024
Melilla,1.994 €/m2,"0,004","0,026","0,031",2.073 €/m2 mayo 2025,"- 3,8 %",2024
Murcia Región,1.379 €/m2,"0,015","0,051","0,163",1.786 €/m2 sep 2006,"- 22,8 %",2024
Murcia provincia,1.379 €/m2,"0,015","0,051","0,163",1.786 €/m2 sep 2006,"- 22,8 %",2024
Murcia,1.370 €/m2,"0,018","0,054","0,111",1.757 €/m2 sep 2007,"- 22,0 %",2024
Navarra,1.795 €/m2,"0,012","0,039","0,064",1.870 €/m2 oct 2007,"- 4,0 %",2024
Navarra,1.795 €/m2,"0,012","0,039","0,064",1.870 €/m2 oct 2007,"- 4,0 %",2024
Pamplona/Iruña,2.827 €/m2,"0,025","0,048","0,06",2.827 €/m2 dic 2024,"0,0 %",2024
Andalucía,2.078 €/m2,"0,009","0,007","0,099",2.468 €/m2 mayo 2025,"- 15,8 %",2023
Almería provincia,1.196 €/m2,"0,004","- 0,7 %","0,063",1.868 €/m2 jul 2006,"- 36,0 %",2023
Almería,1.380 €/m2,"- 0,2 %","- 0,7 %","0,069",2.257 €/m2 sep 2008,"- 38,9 %",2023
Cádiz provincia,1.802 €/m2,"0,001","0,009","0,092",2.272 €/m2 abr 2007,"- 20,7 %",2023
Cádiz,2.786 €/m2,"0,002","0,038","0,096",3.035 €/m2 dic 2024,"- 8,2 %",2023
Córdoba provincia,1.242 €/m2,"0,0 %","0,016","0,054",1.801 €/m2 nov 2007,"- 31,0 %",2023
Córdoba,1.464 €/m2,"- 0,2 %","0,01","0,018",2.178 €/m2 dic 2007,"- 32,8 %",2023
Granada provincia,1.397 €/m2,"0,016","0,029","0,052",1.782 €/m2 mayo 2007,"- 21,6 %",2023
Granada,2.019 €/m2,"0,014","0,028","0,053",2.422 €/m2 mayo 2025,"- 16,7 %",2023
Huelva provincia,1.394 €/m2,"0,008","0,01","0,074",1.919 €/m2 sep 2007,"- 27,4 %",2023
Huelva,1.286 €/m2,"0,038","0,035","0,094",1.678 €/m2 mayo 2008,"- 23,3 %",2023
Jaén provincia,830 €/m2,"0,005","0,007","0,034",1.320 €/m2 sep 2007,"- 37,1 %",2023
Jaén,1.149 €/m2,"0,011","0,022","0,054",1.672 €/m2 oct 2008,"- 31,3 %",2023
Málaga provincia,3.079 €/m2,"0,009","0,014","0,113",3.718 €/m2 mayo 2025,"- 17,2 %",2023
Málaga,2.668 €/m2,"0,01","0,016","0,141",3.427 €/m2 mayo 2025,"- 22,1 %",2023
Sevilla provincia,1.557 €/m2,"- 0,6 %","0,02","0,064",1.970 €/m2 mar 2008,"- 21,0 %",2023
Sevilla,2.211 €/m2,"- 0,3 %","0,012","0,042",2.646 €/m2 sep 2007,"- 16,5 %",2023
Aragón,1.417 €/m2,"0,012","0,016","0,063",2.008 €/m2 mar 2007,"- 29,4 %",2023
Huesca provincia,1.492 €/m2,"0,015","0,029","0,097",2.246 €/m2 ago 2007,"- 33,6 %",2023
Huesca,1.709 €/m2,"0,02","0,018","0,185",1.738 €/m2 mar 2011,"- 1,6 %",2023
Teruel provincia,912 €/m2,"0,0 %","0,004","0,041",1.118 €/m2 jun 2008,"- 18,5 %",2023
Teruel,1.315 €/m2,"- 0,2 %","0,024","0,134",1.660 €/m2 nov 2010,"- 20,8 %",2023
Zaragoza provincia,1.452 €/m2,"0,01","0,01","0,052",2.135 €/m2 mayo 2007,"- 32,0 %",2023
Zaragoza,1.801 €/m2,"0,017","0,021","0,055",2.787 €/m2 dic 2007,"- 35,4 %",2023
Asturias,1.371 €/m2,"- 0,2 %","0,006","0,021",1.867 €/m2 abr 2008,"- 26,6 %",2023
Asturias,1.371 €/m2,"- 0,2 %","0,006","0,021",1.867 €/m2 abr 2008,"- 26,6 %",2023
Oviedo,1.670 €/m2,"0,003","0,019","0,039",2.179 €/m2 ene 2009,"- 23,4 %",2023
Baleares,4.083 €/m2,"0,008","0,012","0,127",4.905 €/m2 mayo 2025,"- 16,7 %",2023
Baleares,4.083 €/m2,"0,008","0,012","0,127",4.905 €/m2 mayo 2025,"- 16,7 %",2023
Palma de Mallorca,3.877 €/m2,"0,0 %","- 0,8 %","0,12",4.772 €/m2 mayo 2025,"- 18,7 %",2023
Canarias,2.432 €/m2,"0,005","0,041","0,159",3.039 €/m2 mayo 2025,"- 20,0 %",2023
Las Palmas,2.279 €/m2,"0,01","0,028","0,103",2.778 €/m2 mayo 2025,"- 18,0 %",2023
Las Palmas de Gran Canaria,2.201 €/m2,"0,01","0,024","0,05",2.507 €/m2 mayo 2025,"- 12,2 %",2023
Santa Cruz de Tenerife provincia,2.555 €/m2,"0,002","0,048","0,202",3.224 €/m2 mayo 2025,"- 20,7 %",2023
Santa Cruz de Tenerife,2.042 €/m2,"0,011","0,061","0,209",2.214 €/m2 abr 2025,"- 7,8 %",2023
Cantabria,1.572 €/m2,"0,001","0,006","0,048",2.010 €/m2 feb 2008,"- 21,8 %",2023
Cantabria,1.572 €/m2,"0,001","0,006","0,048",2.010 €/m2 feb 2008,"- 21,8 %",2023
Santander,2.136 €/m2,"0,002","0,007","0,089",2.727 €/m2 mayo 2025,"- 21,7 %",2023
Castilla y León,1.176 €/m2,"0,005","0,021","0,034",1.481 €/m2 jun 2011,"- 20,6 %",2023
Ávila provincia,887 €/m2,"0,005","0,002","0,06",1.266 €/m2 mar 2008,"- 30,0 %",2023
Ávila,1.256 €/m2,"0,013","- 1,4 %","0,165",1.744 €/m2 jul 2008,"- 28,0 %",2023
Burgos provincia,1.213 €/m2,"- 0,5 %","0,015","0,052",1.655 €/m2 sep 2011,"- 26,7 %",2023
Burgos,1.709 €/m2,"0,001","0,024","0,058",2.176 €/m2 nov 2008,"- 21,5 %",2023
León provincia,993 €/m2,"0,003","0,016","0,023",1.351 €/m2 jun 2011,"- 26,5 %",2023
León,1.371 €/m2,"0,015","0,022","0,036",1.898 €/m2 feb 2011,"- 27,8 %",2023
Palencia provincia,1.112 €/m2,"0,006","0,021","0,023",1.335 €/m2 feb 2012,"- 16,7 %",2023
Palencia,1.308 €/m2,"0,01","0,016","0,027",1.724 €/m2 ene 2009,"- 24,1 %",2023
Salamanca provincia,1.334 €/m2,"0,009","0,026","0,017",1.719 €/m2 mar 2011,"- 22,4 %",2023
Salamanca,1.759 €/m2,"0,005","0,011","0,027",2.480 €/m2 mar 2008,"- 29,1 %",2023
Segovia provincia,1.252 €/m2,"0,003","0,02","0,048",1.601 €/m2 sep 2007,"- 21,8 %",2023
Segovia,1.749 €/m2,"- 0,4 %","0,026","0,035",2.252 €/m2 mar 2009,"- 22,3 %",2023
Soria provincia,1.143 €/m2,"0,027","0,049","0,122",1.372 €/m2 nov 2010,"- 16,7 %",2023
Soria,1.619 €/m2,"0,036","0,04","0,231",1.913 €/m2 nov 2010,"- 15,4 %",2023
Valladolid provincia,1.373 €/m2,"0,007","0,021","0,029",1.776 €/m2 oct 2007,"- 22,7 %",2023
Valladolid,1.630 €/m2,"0,006","0,022","0,025",2.117 €/m2 oct 2007,"- 23,0 %",2023
Zamora provincia,933 €/m2,"- 0,2 %","- 0,9 %","- 2,9 %",1.368 €/m2 mar 2011,"- 31,8 %",2023
Zamora,1.118 €/m2,"0,005","0,002","0,001",1.607 €/m2 mar 2011,"- 30,4 %",2023
Castilla-La Mancha,917 €/m2,"0,006","0,012","0,031",1.424 €/m2 mayo 2007,"- 35,6 %",2023
Albacete provincia,1.124 €/m2,"0,01","0,026","0,052",1.570 €/m2 abr 2008,"- 28,4 %",2023
Albacete,1.497 €/m2,"0,004","0,021","0,065",1.852 €/m2 jun 2008,"- 19,2 %",2023
Ciudad Real provincia,745 €/m2,"- 0,1 %","- 0,9 %","- 0,6 %",1.391 €/m2 jun 2007,"- 46,4 %",2023
Ciudad Real,1.218 €/m2,"0,004","0,014","0,034",1.877 €/m2 abr 2008,"- 35,1 %",2023
Cuenca provincia,852 €/m2,"0,035","0,069","0,074",1.109 €/m2 ago 2008,"- 23,2 %",2023
Cuenca,1.342 €/m2,"0,028","0,075","0,087",1.674 €/m2 mar 2010,"- 19,8 %",2023
Guadalajara provincia,1.231 €/m2,"0,009","0,017","0,063",1.661 €/m2 jun 2007,"- 25,9 %",2023
Guadalajara,1.590 €/m2,"0,002","- 0,9 %","0,061",2.137 €/m2 mayo 2008,"- 25,6 %",2023
Toledo provincia,856 €/m2,"0,001","0,007","0,02",1.465 €/m2 nov 2006,"- 41,5 %",2023
Toledo,1.514 €/m2,"0,02","0,026","0,036",2.067 €/m2 mayo 2008,"- 26,7 %",2023
Cataluña,2.339 €/m2,"0,003","0,002","0,019",2.677 €/m2 jun 2007,"- 12,7 %",2023
Barcelona provincia,2.638 €/m2,"0,002","- 1,0 %","- 1,3 %",2.914 €/m2 mayo 2025,"- 9,5 %",2023
Barcelona,4.167 €/m2,"0,005","0,003","0,026",4.895 €/m2 mayo 2025,"- 14,9 %",2023
Girona provincia,2.259 €/m2,"0,003","0,001","0,054",2.522 €/m2 jun 2007,"- 10,4 %",2023
Girona,2.457 €/m2,"0,004","0,016","0,108",2.639 €/m2 ago 2024,"- 6,9 %",2023
Lleida provincia,1.280 €/m2,"- 1,3 %","- 1,9 %","0,065",2.076 €/m2 ago 2007,"- 38,3 %",2023
Lleida,1.167 €/m2,"- 0,8 %","- 1,6 %","0,059",1.742 €/m2 abr 2009,"- 33,0 %",2023
Tarragona provincia,1.522 €/m2,"0,003","0,015","0,076",2.120 €/m2 oct 2006,"- 28,2 %",2023
Tarragona,1.896 €/m2,"- 0,1 %","0,012","0,014",2.550 €/m2 oct 2008,"- 25,7 %",2023
Ceuta,2.187 €/m2,"0,014","0,013","0,029",2.393 €/m2 mar 2025,"- 8,6 %",2023
Ceuta provincia,2.187 €/m2,"0,014","0,013","0,029",2.393 €/m2 mar 2025,"- 8,6 %",2023
Ceuta,2.187 €/m2,"0,014","0,013",n.d.,2.393 €/m2 mar 2025,"- 8,6 %",2023
Comunitat Valenciana,1.776 €/m2,"0,007","0,008","0,113",2.207 €/m2 mayo 2025,"- 19,5 %",2023
Alicante/Alacant,2.055 €/m2,"0,006","0,006","0,11",2.521 €/m2 mayo 2025,"- 18,5 %",2023
Alicante / Alacant,1.915 €/m2,"0,022","0,04","0,175",2.371 €/m2 mayo 2025,"- 19,2 %",2023
Castellón/Castelló,1.221 €/m2,"0,006","0,014","0,09",1.953 €/m2 jul 2007,"- 37,5 %",2023
Castellón de la Plana / Castello de la Plana,1.277 €/m2,"0,007","0,026","0,074",1.831 €/m2 ene 2008,"- 30,3 %",2023
Valencia/Valéncia,1.398 €/m2,"0,005","0,019","0,104",1.943 €/m2 oct 2006,"- 28,0 %",2023
València,2.287 €/m2,"0,0 %","- 0,6 %","0,129",3.017 €/m2 mayo 2025,"- 24,2 %",2023
Euskadi,2.864 €/m2,"0,003","0,007","0,033",3.255 €/m2 abr 2011,"- 12,0 %",2023
Álava,2.267 €/m2,"0,0 %","0,008","0,025",2.490 €/m2 ene 2011,"- 8,9 %",2023
Vitoria-Gasteiz,2.518 €/m2,"0,0 %","0,0 %","0,018",2.975 €/m2 oct 2008,"- 15,4 %",2023
Guipúzcoa,3.505 €/m2,"- 0,3 %","0,006","0,04",3.862 €/m2 mayo 2025,"- 9,2 %",2023
Donostia-San Sebastián,5.365 €/m2,"- 0,2 %","0,002","0,046",6.025 €/m2 mayo 2025,"- 11,0 %",2023
Vizcaya,2.758 €/m2,"0,005","0,008","0,021",3.360 €/m2 abr 2011,"- 17,9 %",2023
Bilbao,3.241 €/m2,"0,007","0,016","0,023",3.591 €/m2 mayo 2011,"- 9,7 %",2023
Extremadura,959 €/m2,"0,001","0,013","0,017",1.217 €/m2 abr 2011,"- 21,3 %",2023
Badajoz provincia,978 €/m2,"0,001","0,01","0,011",1.278 €/m2 abr 2011,"- 23,5 %",2023
Badajoz,1.396 €/m2,"0,003","- 0,2 %","0,026",1.719 €/m2 abr 2008,"- 18,8 %",2023
Cáceres provincia,934 €/m2,"0,002","0,015","0,023",1.174 €/m2 mar 2008,"- 20,4 %",2023
Cáceres,1.245 €/m2,"0,001","0,02","0,051",1.600 €/m2 jul 2008,"- 22,2 %",2023
Galicia,1.375 €/m2,"0,001","0,015","0,028",1.775 €/m2 nov 2011,"- 22,6 %",2023
A Coruña provincia,1.346 €/m2,"0,007","0,024","0,05",1.832 €/m2 nov 2011,"- 26,6 %",2023
A Coruña,2.337 €/m2,"0,0 %","0,026","0,024",2.895 €/m2 ago 2008,"- 19,3 %",2023
Lugo provincia,1.014 €/m2,"0,005","0,004","0,034",1.616 €/m2 mayo 2011,"- 37,2 %",2023
Lugo,1.259 €/m2,"0,0 %","0,01","0,03",1.918 €/m2 jun 2011,"- 34,4 %",2023
Ourense provincia,1.145 €/m2,"0,001","0,016","- 1,3 %",1.531 €/m2 nov 2011,"- 25,2 %",2023
Ourense,1.477 €/m2,"0,008","0,025","0,019",1.914 €/m2 nov 2011,"- 22,8 %",2023
Pontevedra provincia,1.608 €/m2,"- 0,4 %","0,003","0,012",1.935 €/m2 jun 2007,"- 16,9 %",2023
Pontevedra,1.899 €/m2,"- 0,4 %","0,003","0,055",2.154 €/m2 mayo 2025,"- 11,8 %",2023
La Rioja,1.327 €/m2,"0,019","0,034","0,054",1.652 €/m2 ene 2008,"- 19,6 %",2023
La Rioja,1.327 €/m2,"0,019","0,034","0,054",1.652 €/m2 ene 2008,"- 19,6 %",2023
Logroño,1.726 €/m2,"0,014","0,036","0,082",1.993 €/m2 abr 2011,"- 13,4 %",2023
Madrid Comunidad,3.208 €/m2,"0,012","0,025","0,048",4.234 €/m2 mayo 2025,"- 24,2 %",2023
Madrid provincia,3.208 €/m2,"0,012","0,025","0,048",4.234 €/m2 mayo 2025,"- 24,2 %",2023
Madrid,4.118 €/m2,"0,013","0,02","0,061",5.573 €/m2 mayo 2025,"- 26,1 %",2023
Melilla,1.934 €/m2,"- 1,3 %","0,004","0,026",2.073 €/m2 mayo 2025,"- 6,7 %",2023
Melilla provincia,1.934 €/m2,"- 1,3 %","0,004","0,026",2.073 €/m2 mayo 2025,"- 6,7 %",2023
Melilla,1.934 €/m2,"- 1,3 %","0,004","0,026",2.073 €/m2 mayo 2025,"- 6,7 %",2023
Murcia Región,1.186 €/m2,"0,008","0,019","0,098",1.786 €/m2 sep 2006,"- 33,6 %",2023
Murcia provincia,1.186 €/m2,"0,008","0,019","0,098",1.786 €/m2 sep 2006,"- 33,6 %",2023
Murcia,1.233 €/m2,"0,019","0,035","0,118",1.757 €/m2 sep 2007,"- 29,9 %",2023
Navarra,1.687 €/m2,"0,019","0,023","0,076",1.870 €/m2 oct 2007,"- 9,8 %",2023
Navarra,1.687 €/m2,"0,019","0,023","0,076",1.870 €/m2 oct 2007,"- 9,8 %",2023
Pamplona/Iruña,2.668 €/m2,"0,009","0,003","0,05",2.827 €/m2 dic 2024,"- 5,6 %",2023
Andalucía,1.891 €/m2,"- 0,4 %","0,002","0,064",2.468 €/m2 mayo 2025,"- 23,4 %",2022
Almería provincia,1.125 €/m2,"- 1,0 %","- 1,5 %","0,033",1.868 €/m2 jul 2006,"- 39,8 %",2022
Almería,1.291 €/m2,"0,007","0,023","0,063",2.257 €/m2 sep 2008,"- 42,8 %",2022
Cádiz provincia,1.650 €/m2,"0,003","0,013","0,073",2.272 €/m2 abr 2007,"- 27,4 %",2022
Cádiz,2.543 €/m2,"0,003","0,02","0,068",3.035 €/m2 dic 2024,"- 16,2 %",2022
Córdoba provincia,1.179 €/m2,"- 0,1 %","- 0,7 %","0,016",1.801 €/m2 nov 2007,"- 34,5 %",2022
Córdoba,1.438 €/m2,"0,001","0,003","0,029",2.178 €/m2 dic 2007,"- 34,0 %",2022
Granada provincia,1.328 €/m2,"- 1,3 %","0,002","0,033",1.782 €/m2 mayo 2007,"- 25,5 %",2022
Granada,1.917 €/m2,"- 0,4 %","0,003","0,055",2.422 €/m2 mayo 2025,"- 20,9 %",2022
Huelva provincia,1.298 €/m2,"- 0,7 %","0,002","0,031",1.919 €/m2 sep 2007,"- 32,3 %",2022
Huelva,1.176 €/m2,"0,006","0,025","0,064",1.678 €/m2 mayo 2008,"- 29,9 %",2022
Jaén provincia,803 €/m2,"- 1,8 %","- 1,8 %","- 2,7 %",1.320 €/m2 sep 2007,"- 39,2 %",2022
Jaén,1.090 €/m2,"- 0,6 %","- 0,4 %","- 1,4 %",1.672 €/m2 oct 2008,"- 34,8 %",2022
Málaga provincia,2.766 €/m2,"0,004","0,016","0,131",3.718 €/m2 mayo 2025,"- 25,6 %",2022
Málaga,2.338 €/m2,"0,005","0,009","0,077",3.427 €/m2 mayo 2025,"- 31,8 %",2022
Sevilla provincia,1.463 €/m2,"0,001","0,023","0,05",1.970 €/m2 mar 2008,"- 25,7 %",2022
Sevilla,2.121 €/m2,"0,004","0,031","0,087",2.646 €/m2 sep 2007,"- 19,9 %",2022
Aragón,1.333 €/m2,"0,0 %","0,01","0,01",2.008 €/m2 mar 2007,"- 33,6 %",2022
Huesca provincia,1.360 €/m2,"- 0,6 %","- 3,5 %","- 2,6 %",2.246 €/m2 ago 2007,"- 39,5 %",2022
Huesca,1.443 €/m2,"0,015","0,005","- 0,2 %",1.738 €/m2 mar 2011,"- 17,0 %",2022
Teruel provincia,876 €/m2,"- 1,8 %","- 1,4 %","- 0,9 %",1.118 €/m2 jun 2008,"- 21,7 %",2022
Teruel,1.160 €/m2,"- 2,4 %","- 2,0 %","- 1,0 %",1.660 €/m2 nov 2010,"- 30,1 %",2022
Zaragoza provincia,1.380 €/m2,"0,003","0,021","0,026",2.135 €/m2 mayo 2007,"- 35,4 %",2022
Zaragoza,1.706 €/m2,"0,004","0,016","0,053",2.787 €/m2 dic 2007,"- 38,8 %",2022
Asturias,1.343 €/m2,"- 0,2 %","0,001","0,005",1.867 €/m2 abr 2008,"- 28,1 %",2022
Asturias,1.343 €/m2,"- 0,2 %","0,001","0,005",1.867 €/m2 abr 2008,"- 28,1 %",2022
Oviedo,1.607 €/m2,"0,0 %","0,008","0,037",2.179 €/m2 ene 2009,"- 26,3 %",2022
Baleares,3.625 €/m2,"0,008","0,019","0,101",4.905 €/m2 mayo 2025,"- 26,1 %",2022
Baleares,3.625 €/m2,"0,008","0,019","0,101",4.905 €/m2 mayo 2025,"- 26,1 %",2022
Palma de Mallorca,3.462 €/m2,"0,008","0,015","0,12",4.772 €/m2 mayo 2025,"- 27,4 %",2022
Canarias,2.099 €/m2,"0,007","0,025","0,068",3.039 €/m2 mayo 2025,"- 30,9 %",2022
Las Palmas,2.066 €/m2,"0,012","0,021","0,054",2.778 €/m2 mayo 2025,"- 25,7 %",2022
Las Palmas de Gran Canaria,2.097 €/m2,"- 0,3 %","- 1,3 %","0,028",2.507 €/m2 mayo 2025,"- 16,3 %",2022
Santa Cruz de Tenerife provincia,2.125 €/m2,"0,003","0,029","0,079",3.224 €/m2 mayo 2025,"- 34,1 %",2022
Santa Cruz de Tenerife,1.690 €/m2,"0,001","0,034","0,158",2.214 €/m2 abr 2025,"- 23,7 %",2022
Cantabria,1.500 €/m2,"0,004","0,01","0,024",2.010 €/m2 feb 2008,"- 25,4 %",2022
Cantabria,1.500 €/m2,"0,004","0,01","0,024",2.010 €/m2 feb 2008,"- 25,4 %",2022
Santander,1.961 €/m2,"0,011","0,004","0,027",2.727 €/m2 mayo 2025,"- 28,1 %",2022
Castilla y León,1.137 €/m2,"- 0,2 %","0,004","- 0,9 %",1.481 €/m2 jun 2011,"- 23,2 %",2022
Ávila provincia,837 €/m2,"- 1,3 %","- 1,0 %","- 0,9 %",1.266 €/m2 mar 2008,"- 33,9 %",2022
Ávila,1.078 €/m2,"- 1,3 %","- 1,0 %","0,004",1.744 €/m2 jul 2008,"- 38,2 %",2022
Burgos provincia,1.153 €/m2,"- 0,4 %","- 0,9 %","- 2,4 %",1.655 €/m2 sep 2011,"- 30,3 %",2022
Burgos,1.615 €/m2,"0,002","0,001","0,003",2.176 €/m2 nov 2008,"- 25,8 %",2022
León provincia,971 €/m2,"- 2,1 %","- 1,5 %","- 3,1 %",1.351 €/m2 jun 2011,"- 28,1 %",2022
León,1.323 €/m2,"- 0,8 %","- 0,4 %","- 0,5 %",1.898 €/m2 feb 2011,"- 30,3 %",2022
Palencia provincia,1.087 €/m2,"- 0,3 %","- 0,7 %","- 3,8 %",1.335 €/m2 feb 2012,"- 18,6 %",2022
Palencia,1.274 €/m2,"- 0,7 %","- 1,6 %","- 3,8 %",1.724 €/m2 ene 2009,"- 26,1 %",2022
Salamanca provincia,1.311 €/m2,"0,004","0,013","- 0,5 %",1.719 €/m2 mar 2011,"- 23,7 %",2022
Salamanca,1.713 €/m2,"0,006","0,008","0,022",2.480 €/m2 mar 2008,"- 31,0 %",2022
Segovia provincia,1.195 €/m2,"0,015","0,021","0,067",1.601 €/m2 sep 2007,"- 25,4 %",2022
Segovia,1.689 €/m2,"0,025","0,013","0,089",2.252 €/m2 mar 2009,"- 25,0 %",2022
Soria provincia,1.019 €/m2,"0,001","- 1,7 %","0,03",1.372 €/m2 nov 2010,"- 25,7 %",2022
Soria,1.315 €/m2,"- 1,3 %","- 5,2 %","0,007",1.913 €/m2 nov 2010,"- 31,3 %",2022
Valladolid provincia,1.334 €/m2,"- 0,2 %","0,011","0,019",1.776 €/m2 oct 2007,"- 24,9 %",2022
Valladolid,1.591 €/m2,"- 0,2 %","0,014","0,031",2.117 €/m2 oct 2007,"- 24,8 %",2022
Zamora provincia,961 €/m2,"0,011","0,022","- 0,3 %",1.368 €/m2 mar 2011,"- 29,7 %",2022
Zamora,1.117 €/m2,"0,011","0,011","- 2,4 %",1.607 €/m2 mar 2011,"- 30,5 %",2022
Castilla-La Mancha,889 €/m2,"- 0,2 %","0,002","0,011",1.424 €/m2 mayo 2007,"- 37,6 %",2022
Albacete provincia,1.068 €/m2,"- 0,4 %","- 1,2 %","0,02",1.570 €/m2 abr 2008,"- 32,0 %",2022
Albacete,1.405 €/m2,"- 0,8 %","- 0,6 %","0,042",1.852 €/m2 jun 2008,"- 24,1 %",2022
Ciudad Real provincia,750 €/m2,"- 0,5 %","0,0 %","- 2,5 %",1.391 €/m2 jun 2007,"- 46,1 %",2022
Ciudad Real,1.178 €/m2,"0,01","0,02","0,039",1.877 €/m2 abr 2008,"- 37,2 %",2022
Cuenca provincia,793 €/m2,"- 0,5 %","- 0,8 %","- 1,1 %",1.109 €/m2 ago 2008,"- 28,5 %",2022
Cuenca,1.234 €/m2,"0,05","0,099","0,048",1.674 €/m2 mar 2010,"- 26,3 %",2022
Guadalajara provincia,1.158 €/m2,"0,013","0,012","0,069",1.661 €/m2 jun 2007,"- 30,3 %",2022
Guadalajara,1.498 €/m2,"0,003","0,002","0,108",2.137 €/m2 mayo 2008,"- 29,9 %",2022
Toledo provincia,839 €/m2,"- 1,1 %","- 0,4 %","0,015",1.465 €/m2 nov 2006,"- 42,7 %",2022
Toledo,1.462 €/m2,"- 0,3 %","0,011","0,019",2.067 €/m2 mayo 2008,"- 29,3 %",2022
Cataluña,2.295 €/m2,"- 0,2 %","0,003","0,008",2.677 €/m2 jun 2007,"- 14,3 %",2022
Barcelona provincia,2.673 €/m2,"0,002","- 0,3 %","0,007",2.914 €/m2 mayo 2025,"- 8,3 %",2022
Barcelona,4.063 €/m2,"0,002","- 0,8 %","0,039",4.895 €/m2 mayo 2025,"- 17,0 %",2022
Girona provincia,2.144 €/m2,"- 0,6 %","- 0,8 %","0,024",2.522 €/m2 jun 2007,"- 15,0 %",2022
Girona,2.218 €/m2,"- 1,5 %","- 1,5 %","0,014",2.639 €/m2 ago 2024,"- 16,0 %",2022
Lleida provincia,1.202 €/m2,"- 1,0 %","- 1,9 %","- 4,1 %",2.076 €/m2 ago 2007,"- 42,1 %",2022
Lleida,1.102 €/m2,"0,009","0,008","0,063",1.742 €/m2 abr 2009,"- 36,7 %",2022
Tarragona provincia,1.415 €/m2,"- 1,0 %","- 0,7 %","0,028",2.120 €/m2 oct 2006,"- 33,3 %",2022
Tarragona,1.870 €/m2,"0,013","0,044","0,077",2.550 €/m2 oct 2008,"- 26,7 %",2022
Ceuta,2.124 €/m2,"0,004","0,013","0,019",2.393 €/m2 mar 2025,"- 11,2 %",2022
Ceuta provincia,2.124 €/m2,"0,004","0,013","0,019",2.393 €/m2 mar 2025,"- 11,2 %",2022
Comunitat Valenciana,1.596 €/m2,"0,002","0,006","0,079",2.207 €/m2 mayo 2025,"- 27,7 %",2022
Alicante/Alacant,1.851 €/m2,"0,005","0,013","0,101",2.521 €/m2 mayo 2025,"- 26,6 %",2022
Alicante / Alacant,1.630 €/m2,"0,004","0,02","0,111",2.371 €/m2 mayo 2025,"- 31,2 %",2022
Castellón/Castelló,1.119 €/m2,"- 1,7 %","- 2,3 %","0,008",1.953 €/m2 jul 2007,"- 42,7 %",2022
Castellón de la Plana / Castello de la Plana,1.189 €/m2,"- 0,9 %","- 0,8 %","0,011",1.831 €/m2 ene 2008,"- 35,1 %",2022
Valencia/Valéncia,1.267 €/m2,"- 1,0 %","- 0,6 %","0,043",1.943 €/m2 oct 2006,"- 34,8 %",2022
València,2.026 €/m2,"- 0,3 %","- 0,3 %","0,095",3.017 €/m2 mayo 2025,"- 32,8 %",2022
Euskadi,2.773 €/m2,"0,003","0,008","0,031",3.255 €/m2 abr 2011,"- 14,8 %",2022
Álava,2.212 €/m2,"- 1,6 %","0,007","0,013",2.490 €/m2 ene 2011,"- 11,2 %",2022
Vitoria-Gasteiz,2.474 €/m2,"- 1,6 %","- 0,8 %","0,018",2.975 €/m2 oct 2008,"- 16,8 %",2022
Guipúzcoa,3.370 €/m2,"0,015","0,006","0,054",3.862 €/m2 mayo 2025,"- 12,7 %",2022
Donostia-San Sebastián,5.130 €/m2,"0,006","- 0,9 %","0,039",6.025 €/m2 mayo 2025,"- 14,9 %",2022
Vizcaya,2.702 €/m2,"0,002","0,012","0,027",3.360 €/m2 abr 2011,"- 19,6 %",2022
Bilbao,3.166 €/m2,"0,005","0,025","0,045",3.591 €/m2 mayo 2011,"- 11,8 %",2022
