Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Soria,1.804 €/m2,"0,034","0,04","0,051",1.913 €/m2 nov 2010,"- 5,7 %",mayo 2025
Valladolid provincia,1.442 €/m2,"0,009","0,033","0,015",1.776 €/m2 oct 2007,"- 18,8 %",mayo 2025
Valladolid,1.846 €/m2,"0,007","0,05","0,078",2.117 €/m2 oct 2007,"- 12,8 %",mayo 2025
Zamora provincia,988 €/m2,"0,017","0,019","0,029",1.368 €/m2 mar 2011,"- 27,7 %",mayo 2025
Zamora,1.245 €/m2,"0,036","0,058","0,082",1.607 €/m2 mar 2011,"- 22,5 %",mayo 2025
Castilla-La Mancha,961 €/m2,"0,001","0,019","0,027",1.424 €/m2 mayo 2007,"- 32,5 %",mayo 2025
Albacete provincia,1.173 €/m2,"- 1,0 %","0,005","0,021",1.570 €/m2 abr 2008,"- 25,3 %",mayo 2025
Albacete,1.745 €/m2,"0,003","0,036","0,128",1.852 €/m2 jun 2008,"- 5,8 %",mayo 2025
Ciudad Real provincia,741 €/m2,"- 0,8 %","0,004","- 1,5 %",1.391 €/m2 jun 2007,"- 46,7 %",mayo 2025
Ciudad Real,1.369 €/m2,"0,01","0,035","0,096",1.877 €/m2 abr 2008,"- 27,1 %",mayo 2025
Cuenca provincia,831 €/m2,"- 0,7 %","- 1,2 %","- 2,7 %",1.109 €/m2 ago 2008,"- 25,1 %",mayo 2025
Cuenca,1.441 €/m2,"- 0,4 %","0,012","0,054",1.674 €/m2 mar 2010,"- 13,9 %",mayo 2025
Guadalajara provincia,1.341 €/m2,"0,016","0,035","0,057",1.661 €/m2 jun 2007,"- 19,2 %",mayo 2025
Guadalajara,1.899 €/m2,"0,045","0,074","0,152",2.137 €/m2 mayo 2008,"- 11,2 %",mayo 2025
Toledo provincia,956 €/m2,"0,011","0,039","0,083",1.465 €/m2 nov 2006,"- 34,8 %",mayo 2025
Toledo,1.803 €/m2,"0,026","0,085","0,142",2.067 €/m2 mayo 2008,"- 12,8 %",mayo 2025
Cataluña,2.560 €/m2,"0,01","0,044","0,065",2.677 €/m2 jun 2007,"- 4,4 %",mayo 2025
Barcelona provincia,2.914 €/m2,"0,009","0,049","0,074",2.914 €/m2 mayo 2025,"0,0 %",mayo 2025
Barcelona,4.895 €/m2,"0,004","0,03","0,108",4.895 €/m2 mayo 2025,"0,0 %",mayo 2025
Girona provincia,2.485 €/m2,"0,01","0,031","0,062",2.522 €/m2 jun 2007,"- 1,4 %",mayo 2025
Girona,2.498 €/m2,"- 0,6 %","- 0,7 %","- 1,0 %",2.639 €/m2 ago 2024,"- 5,4 %",mayo 2025
Lleida provincia,1.410 €/m2,"0,013","- 0,4 %","0,06",2.076 €/m2 ago 2007,"- 32,1 %",mayo 2025
Lleida,1.327 €/m2,"0,015","0,009","0,077",1.742 €/m2 abr 2009,"- 23,8 %",mayo 2025
Tarragona provincia,1.659 €/m2,"0,019","0,044","0,059",2.120 €/m2 oct 2006,"- 21,8 %",mayo 2025
Tarragona,2.092 €/m2,"- 1,1 %","0,011","0,032",2.550 €/m2 oct 2008,"- 18,0 %",mayo 2025
Ceuta,2.325 €/m2,"- 1,5 %","0,014","0,011",2.393 €/m2 mar 2025,"- 2,8 %",mayo 2025
Ceuta provincia,2.325 €/m2,"- 1,5 %","0,014","0,011",2.393 €/m2 mar 2025,"- 2,8 %",mayo 2025
Ceuta,2.325 €/m2,"- 1,5 %","0,014","0,011",2.393 €/m2 mar 2025,"- 2,8 %",mayo 2025
Comunitat Valenciana,2.207 €/m2,"0,023","0,061","0,175",2.207 €/m2 mayo 2025,"0,0 %",mayo 2025
Alicante/Alacant,2.521 €/m2,"0,023","0,055","0,158",2.521 €/m2 mayo 2025,"0,0 %",mayo 2025
Alicante / Alacant,2.371 €/m2,"0,016","0,042","0,132",2.371 €/m2 mayo 2025,"0,0 %",mayo 2025
Castellón/Castelló,1.376 €/m2,"0,016","0,038","0,103",1.953 €/m2 jul 2007,"- 29,5 %",mayo 2025
Castellón de la Plana / Castello de la Plana,1.416 €/m2,"- 0,4 %","0,025","0,09",1.831 €/m2 ene 2008,"- 22,7 %",mayo 2025
Valencia/Valéncia,1.689 €/m2,"0,015","0,057","0,158",1.943 €/m2 oct 2006,"- 13,1 %",mayo 2025
València,3.017 €/m2,"0,009","0,043","0,195",3.017 €/m2 mayo 2025,"0,0 %",mayo 2025
Euskadi,3.179 €/m2,"0,018","0,028","0,086",3.255 €/m2 abr 2011,"- 2,3 %",mayo 2025
Álava,2.362 €/m2,"0,004","0,017","0,032",2.490 €/m2 ene 2011,"- 5,1 %",mayo 2025
