Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Menos de 46 m2;4 personas;2018;21,1
Total Nacional;;Menos de 46 m2;4 personas;2017;22,9
Total Nacional;;Menos de 46 m2;4 personas;2016;18,9
Total Nacional;;Menos de 46 m2;4 personas;2015;25,1
Total Nacional;;Menos de 46 m2;4 personas;2014;22,9
Total Nacional;;Menos de 46 m2;4 personas;2013;25,8
Total Nacional;;Menos de 46 m2;5 personas;2020;8,2
Total Nacional;;Menos de 46 m2;5 personas;2019;5,7
Total Nacional;;Menos de 46 m2;5 personas;2018;2,6
Total Nacional;;Menos de 46 m2;5 personas;2017;6,9
Total Nacional;;Menos de 46 m2;5 personas;2016;8,0
Total Nacional;;Menos de 46 m2;5 personas;2015;7,6
Total Nacional;;Menos de 46 m2;5 personas;2014;6,4
Total Nacional;;Menos de 46 m2;5 personas;2013;5,3
Total Nacional;;Menos de 46 m2;6 personas;2020;5,1
Total Nacional;;Menos de 46 m2;6 personas;2019;0,6
Total Nacional;;Menos de 46 m2;6 personas;2018;1,0
Total Nacional;;Menos de 46 m2;6 personas;2017;1,9
Total Nacional;;Menos de 46 m2;6 personas;2016;2,3
Total Nacional;;Menos de 46 m2;6 personas;2015;1,7
Total Nacional;;Menos de 46 m2;6 personas;2014;3,6
Total Nacional;;Menos de 46 m2;6 personas;2013;3,5
Total Nacional;;Menos de 46 m2;7 personas;2020;..
Total Nacional;;Menos de 46 m2;7 personas;2019;0,2
Total Nacional;;Menos de 46 m2;7 personas;2018;0,1
Total Nacional;;Menos de 46 m2;7 personas;2017;0,6
Total Nacional;;Menos de 46 m2;7 personas;2016;0,4
Total Nacional;;Menos de 46 m2;7 personas;2015;0,5
Total Nacional;;Menos de 46 m2;7 personas;2014;0,2
Total Nacional;;Menos de 46 m2;7 personas;2013;1,3
Total Nacional;;Menos de 46 m2;8 personas o más;2020;0,0
Total Nacional;;Menos de 46 m2;8 personas o más;2019;0,2
Total Nacional;;Menos de 46 m2;8 personas o más;2018;0,4
Total Nacional;;Menos de 46 m2;8 personas o más;2017;0,2
Total Nacional;;Menos de 46 m2;8 personas o más;2016;0,3
Total Nacional;;Menos de 46 m2;8 personas o más;2015;0,1
Total Nacional;;Menos de 46 m2;8 personas o más;2014;0,1
Total Nacional;;Menos de 46 m2;8 personas o más;2013;0,1
Total Nacional;;Entre 46 y 75 m2;Total;2020;5.171,7
Total Nacional;;Entre 46 y 75 m2;Total;2019;5.115,4
Total Nacional;;Entre 46 y 75 m2;Total;2018;5.123,7
Total Nacional;;Entre 46 y 75 m2;Total;2017;5.319,3
Total Nacional;;Entre 46 y 75 m2;Total;2016;5.154,6
Total Nacional;;Entre 46 y 75 m2;Total;2015;5.229,7
Total Nacional;;Entre 46 y 75 m2;Total;2014;5.200,4
Total Nacional;;Entre 46 y 75 m2;Total;2013;5.443,6
Total Nacional;;Entre 46 y 75 m2;1 persona;2020;1.797,7
Total Nacional;;Entre 46 y 75 m2;1 persona;2019;1.725,5
Total Nacional;;Entre 46 y 75 m2;1 persona;2018;1.733,3
Total Nacional;;Entre 46 y 75 m2;1 persona;2017;1.779,8
Total Nacional;;Entre 46 y 75 m2;1 persona;2016;1.715,1
Total Nacional;;Entre 46 y 75 m2;1 persona;2015;1.746,3
Total Nacional;;Entre 46 y 75 m2;1 persona;2014;1.691,9
Total Nacional;;Entre 46 y 75 m2;1 persona;2013;1.728,1
Total Nacional;;Entre 46 y 75 m2;2 personas;2020;1.637,5
Total Nacional;;Entre 46 y 75 m2;2 personas;2019;1.604,0
Total Nacional;;Entre 46 y 75 m2;2 personas;2018;1.619,0
Total Nacional;;Entre 46 y 75 m2;2 personas;2017;1.687,0
Total Nacional;;Entre 46 y 75 m2;2 personas;2016;1.677,0
Total Nacional;;Entre 46 y 75 m2;2 personas;2015;1.701,4
Total Nacional;;Entre 46 y 75 m2;2 personas;2014;1.664,9
Total Nacional;;Entre 46 y 75 m2;2 personas;2013;1.776,7
Total Nacional;;Entre 46 y 75 m2;3 personas;2020;919,4
Total Nacional;;Entre 46 y 75 m2;3 personas;2019;945,2
Total Nacional;;Entre 46 y 75 m2;3 personas;2018;972,5
Total Nacional;;Entre 46 y 75 m2;3 personas;2017;990,5
Total Nacional;;Entre 46 y 75 m2;3 personas;2016;980,9
Total Nacional;;Entre 46 y 75 m2;3 personas;2015;980,9
Total Nacional;;Entre 46 y 75 m2;3 personas;2014;1.021,3
Total Nacional;;Entre 46 y 75 m2;3 personas;2013;1.058,7
Total Nacional;;Entre 46 y 75 m2;4 personas;2020;609,5
Total Nacional;;Entre 46 y 75 m2;4 personas;2019;625,7
Total Nacional;;Entre 46 y 75 m2;4 personas;2018;597,4
Total Nacional;;Entre 46 y 75 m2;4 personas;2017;643,8
Total Nacional;;Entre 46 y 75 m2;4 personas;2016;598,6
Total Nacional;;Entre 46 y 75 m2;4 personas;2015;610,9
Total Nacional;;Entre 46 y 75 m2;4 personas;2014;616,8
Total Nacional;;Entre 46 y 75 m2;4 personas;2013;663,2
Total Nacional;;Entre 46 y 75 m2;5 personas;2020;141,4
Total Nacional;;Entre 46 y 75 m2;5 personas;2019;136,9
Total Nacional;;Entre 46 y 75 m2;5 personas;2018;151,3
Total Nacional;;Entre 46 y 75 m2;5 personas;2017;172,2
Total Nacional;;Entre 46 y 75 m2;5 personas;2016;139,8
Total Nacional;;Entre 46 y 75 m2;5 personas;2015;145,2
Total Nacional;;Entre 46 y 75 m2;5 personas;2014;157,6
Total Nacional;;Entre 46 y 75 m2;5 personas;2013;158,5
Total Nacional;;Entre 46 y 75 m2;6 personas;2020;43,3
Total Nacional;;Entre 46 y 75 m2;6 personas;2019;50,8
Total Nacional;;Entre 46 y 75 m2;6 personas;2018;39,5
