comunidad_autonoma
01 Andalucia
02 Aragon
"03 Asturias, Principado De"
"04 Balears, Illes"
05 Canarias
06 Cantabria
07 Castilla Y Leon
08 Castilla-La Mancha
09 Cataluna
10 Comunitat Valenciana
11 Extremadura
12 Galicia
"13 Madrid, Comunidad De"
"14 Murcia, Region De"
"15 Navarra, Comunidad Foral De"
16 Pais Vasco
"17 Rioja, La"
18 Ceuta
19 Melilla
