comunidades_y_ciudades_autónomas,superficie_util,tamaño_hogar,año,total,estimado
01 Andalucia,Menos de 46 m2,3 personas,2014,7.1,False
01 Andalucia,Menos de 46 m2,3 personas,2013,8.6,False
01 Andalucia,Menos de 46 m2,4 personas,2020,3.2,False
01 Andalucia,Menos de 46 m2,4 personas,2019,3.7,False
01 Andalucia,Menos de 46 m2,4 personas,2018,5.9,False
01 Andalucia,Menos de 46 m2,4 personas,2017,4.5,False
01 Andalucia,Menos de 46 m2,4 personas,2016,5.5,False
01 Andalucia,Menos de 46 m2,4 personas,2015,7.7,False
01 Andalucia,Menos de 46 m2,4 personas,2014,4.2,False
01 Andalucia,Menos de 46 m2,4 personas,2013,6.9,False
01 Andalucia,Menos de 46 m2,5 personas,2020,1.1,False
01 Andalucia,Menos de 46 m2,5 personas,2019,1.0,False
01 Andalucia,Menos de 46 m2,5 personas,2018,2.1,False
01 Andalucia,Menos de 46 m2,5 personas,2017,1.3,False
01 Andalucia,Menos de 46 m2,5 personas,2016,0.5,False
01 Andalucia,Menos de 46 m2,5 personas,2015,1.8,False
01 Andalucia,Menos de 46 m2,5 personas,2014,1.5,False
01 Andalucia,Menos de 46 m2,5 personas,2013,0.5,False
01 Andalucia,Menos de 46 m2,6 personas,2019,0.5,False
01 Andalucia,Menos de 46 m2,6 personas,2017,0.4,False
01 Andalucia,Menos de 46 m2,6 personas,2016,0.4,False
01 Andalucia,Menos de 46 m2,6 personas,2014,0.4,False
01 Andalucia,Menos de 46 m2,6 personas,2013,0.5,False
01 Andalucia,Menos de 46 m2,7 personas,2016,0.3,False
01 Andalucia,Entre 46 y 75 m2,Total,2020,929.3,False
01 Andalucia,Entre 46 y 75 m2,Total,2019,838.2,False
01 Andalucia,Entre 46 y 75 m2,Total,2018,817.5,False
01 Andalucia,Entre 46 y 75 m2,Total,2017,820.8,False
01 Andalucia,Entre 46 y 75 m2,Total,2016,795.9,False
01 Andalucia,Entre 46 y 75 m2,Total,2015,778.3,False
01 Andalucia,Entre 46 y 75 m2,Total,2014,812.9,False
01 Andalucia,Entre 46 y 75 m2,Total,2013,871.6,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2020,293.9,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2019,236.1,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2018,241.5,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2017,243.0,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2016,245.2,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2015,246.2,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2014,248.7,False
01 Andalucia,Entre 46 y 75 m2,1 persona,2013,248.4,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2020,268.7,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2019,247.9,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2018,245.0,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2017,231.5,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2016,237.4,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2015,231.7,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2014,238.0,False
01 Andalucia,Entre 46 y 75 m2,2 personas,2013,253.5,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2020,174.2,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2019,177.6,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2018,155.3,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2017,173.5,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2016,160.6,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2015,151.4,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2014,166.3,False
01 Andalucia,Entre 46 y 75 m2,3 personas,2013,167.2,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2020,149.5,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2019,133.8,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2018,132.4,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2017,125.7,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2016,120.0,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2015,112.9,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2014,120.5,False
01 Andalucia,Entre 46 y 75 m2,4 personas,2013,149.8,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2020,35.1,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2019,29.0,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2018,33.3,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2017,35.9,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2016,25.4,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2015,24.9,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2014,31.8,False
01 Andalucia,Entre 46 y 75 m2,5 personas,2013,34.9,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2020,4.5,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2019,10.3,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2018,9.0,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2017,8.1,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2016,5.3,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2015,8.9,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2014,6.0,False
01 Andalucia,Entre 46 y 75 m2,6 personas,2013,14.4,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2020,3.4,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2019,2.7,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2018,1.0,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2017,2.1,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2016,1.8,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2015,1.7,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2014,1.2,False
01 Andalucia,Entre 46 y 75 m2,7 personas,2013,2.4,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2019,0.8,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2018,0.2,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2017,0.8,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2016,0.3,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2015,0.6,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2014,0.3,False
01 Andalucia,Entre 46 y 75 m2,8 personas o más,2013,1.0,False
01 Andalucia,Entre 76 y 105 m2,Total,2020,1247.1,False
01 Andalucia,Entre 76 y 105 m2,Total,2019,1327.4,False
01 Andalucia,Entre 76 y 105 m2,Total,2018,1349.0,False
01 Andalucia,Entre 76 y 105 m2,Total,2017,1380.5,False
01 Andalucia,Entre 76 y 105 m2,Total,2016,1337.3,False
01 Andalucia,Entre 76 y 105 m2,Total,2015,1315.9,False
01 Andalucia,Entre 76 y 105 m2,Total,2014,1244.2,False
01 Andalucia,Entre 76 y 105 m2,Total,2013,1239.2,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2020,273.1,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2019,307.0,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2018,308.8,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2017,297.4,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2016,284.4,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2015,264.5,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2014,257.6,False
01 Andalucia,Entre 76 y 105 m2,1 persona,2013,248.8,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2020,356.5,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2019,374.6,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2018,370.8,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2017,391.2,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2016,370.2,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2015,386.9,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2014,337.1,False
01 Andalucia,Entre 76 y 105 m2,2 personas,2013,355.8,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2020,269.8,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2019,290.0,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2018,303.9,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2017,305.9,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2016,291.6,False
01 Andalucia,Entre 76 y 105 m2,3 personas,2015,300.1,False
