Comunidades y Ciudades Autónomas,Superficie Util,Tamaño Hogar,Año,Total
01 Andalucía,Entre 46 y 75 m2,1 persona,2019,236.1
01 Andalucía,Entre 46 y 75 m2,1 persona,2018,241.5
01 Andalucía,Entre 46 y 75 m2,1 persona,2017,243.0
01 Andalucía,Entre 46 y 75 m2,1 persona,2016,245.2
01 Andalucía,Entre 46 y 75 m2,1 persona,2015,246.2
01 Andalucía,Entre 46 y 75 m2,1 persona,2014,248.7
01 Andalucía,Entre 46 y 75 m2,1 persona,2013,248.4
01 Andalucía,Entre 46 y 75 m2,2 personas,2020,268.7
01 Andalucía,Entre 46 y 75 m2,2 personas,2019,247.9
01 Andalucía,Entre 46 y 75 m2,2 personas,2018,245.0
01 Andalucía,Entre 46 y 75 m2,2 personas,2017,231.5
01 Andalucía,Entre 46 y 75 m2,2 personas,2016,237.4
01 Andalucía,Entre 46 y 75 m2,2 personas,2015,231.7
01 Andalucía,Entre 46 y 75 m2,2 personas,2014,238.0
01 Andalucía,Entre 46 y 75 m2,2 personas,2013,253.5
01 Andalucía,Entre 46 y 75 m2,3 personas,2020,174.2
01 Andalucía,Entre 46 y 75 m2,3 personas,2019,177.6
01 Andalucía,Entre 46 y 75 m2,3 personas,2018,155.3
01 Andalucía,Entre 46 y 75 m2,3 personas,2017,173.5
01 Andalucía,Entre 46 y 75 m2,3 personas,2016,160.6
01 Andalucía,Entre 46 y 75 m2,3 personas,2015,151.4
01 Andalucía,Entre 46 y 75 m2,3 personas,2014,166.3
01 Andalucía,Entre 46 y 75 m2,3 personas,2013,167.2
01 Andalucía,Entre 46 y 75 m2,4 personas,2020,149.5
01 Andalucía,Entre 46 y 75 m2,4 personas,2019,133.8
01 Andalucía,Entre 46 y 75 m2,4 personas,2018,132.4
01 Andalucía,Entre 46 y 75 m2,4 personas,2017,125.7
01 Andalucía,Entre 46 y 75 m2,4 personas,2016,120.0
01 Andalucía,Entre 46 y 75 m2,4 personas,2015,112.9
01 Andalucía,Entre 46 y 75 m2,4 personas,2014,120.5
01 Andalucía,Entre 46 y 75 m2,4 personas,2013,149.8
01 Andalucía,Entre 46 y 75 m2,5 personas,2020,35.1
01 Andalucía,Entre 46 y 75 m2,5 personas,2019,29.0
01 Andalucía,Entre 46 y 75 m2,5 personas,2018,33.3
01 Andalucía,Entre 46 y 75 m2,5 personas,2017,35.9
01 Andalucía,Entre 46 y 75 m2,5 personas,2016,25.4
01 Andalucía,Entre 46 y 75 m2,5 personas,2015,24.9
01 Andalucía,Entre 46 y 75 m2,5 personas,2014,31.8
01 Andalucía,Entre 46 y 75 m2,5 personas,2013,34.9
01 Andalucía,Entre 46 y 75 m2,6 personas,2020,4.5
01 Andalucía,Entre 46 y 75 m2,6 personas,2019,10.3
01 Andalucía,Entre 46 y 75 m2,6 personas,2018,9.0
01 Andalucía,Entre 46 y 75 m2,6 personas,2017,8.1
01 Andalucía,Entre 46 y 75 m2,6 personas,2016,5.3
01 Andalucía,Entre 46 y 75 m2,6 personas,2015,8.9
01 Andalucía,Entre 46 y 75 m2,6 personas,2014,6.0
01 Andalucía,Entre 46 y 75 m2,6 personas,2013,14.4
01 Andalucía,Entre 46 y 75 m2,7 personas,2020,3.4
01 Andalucía,Entre 46 y 75 m2,7 personas,2019,2.7
01 Andalucía,Entre 46 y 75 m2,7 personas,2018,1.0
01 Andalucía,Entre 46 y 75 m2,7 personas,2017,2.1
01 Andalucía,Entre 46 y 75 m2,7 personas,2016,1.8
01 Andalucía,Entre 46 y 75 m2,7 personas,2015,1.7
01 Andalucía,Entre 46 y 75 m2,7 personas,2014,1.2
01 Andalucía,Entre 46 y 75 m2,7 personas,2013,2.4
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2019,0.8
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2018,0.2
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2017,0.8
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2016,0.3
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2015,0.6
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2014,0.3
01 Andalucía,Entre 46 y 75 m2,8 personas o más,2013,1.0
01 Andalucía,Entre 76 y 105 m2,Total,2020,1247.1
01 Andalucía,Entre 76 y 105 m2,Total,2019,1327.4
01 Andalucía,Entre 76 y 105 m2,Total,2018,1349.0
01 Andalucía,Entre 76 y 105 m2,Total,2017,1380.5
01 Andalucía,Entre 76 y 105 m2,Total,2016,1337.3
01 Andalucía,Entre 76 y 105 m2,Total,2015,1315.9
01 Andalucía,Entre 76 y 105 m2,Total,2014,1244.2
01 Andalucía,Entre 76 y 105 m2,Total,2013,1239.2
01 Andalucía,Entre 76 y 105 m2,1 persona,2020,273.1
01 Andalucía,Entre 76 y 105 m2,1 persona,2019,307.0
01 Andalucía,Entre 76 y 105 m2,1 persona,2018,308.8
01 Andalucía,Entre 76 y 105 m2,1 persona,2017,297.4
01 Andalucía,Entre 76 y 105 m2,1 persona,2016,284.4
01 Andalucía,Entre 76 y 105 m2,1 persona,2015,264.5
01 Andalucía,Entre 76 y 105 m2,1 persona,2014,257.6
01 Andalucía,Entre 76 y 105 m2,1 persona,2013,248.8
01 Andalucía,Entre 76 y 105 m2,2 personas,2020,356.5
01 Andalucía,Entre 76 y 105 m2,2 personas,2019,374.6
01 Andalucía,Entre 76 y 105 m2,2 personas,2018,370.8
01 Andalucía,Entre 76 y 105 m2,2 personas,2017,391.2
01 Andalucía,Entre 76 y 105 m2,2 personas,2016,370.2
01 Andalucía,Entre 76 y 105 m2,2 personas,2015,386.9
01 Andalucía,Entre 76 y 105 m2,2 personas,2014,337.1
01 Andalucía,Entre 76 y 105 m2,2 personas,2013,355.8
01 Andalucía,Entre 76 y 105 m2,3 personas,2020,269.8
01 Andalucía,Entre 76 y 105 m2,3 personas,2019,290.0
01 Andalucía,Entre 76 y 105 m2,3 personas,2018,303.9
01 Andalucía,Entre 76 y 105 m2,3 personas,2017,305.9
01 Andalucía,Entre 76 y 105 m2,3 personas,2016,291.6
01 Andalucía,Entre 76 y 105 m2,3 personas,2015,300.1
01 Andalucía,Entre 76 y 105 m2,3 personas,2014,290.7
01 Andalucía,Entre 76 y 105 m2,3 personas,2013,278.0
01 Andalucía,Entre 76 y 105 m2,4 personas,2020,265.2
01 Andalucía,Entre 76 y 105 m2,4 personas,2019,271.4
01 Andalucía,Entre 76 y 105 m2,4 personas,2018,280.2
01 Andalucía,Entre 76 y 105 m2,4 personas,2017,302.8
01 Andalucía,Entre 76 y 105 m2,4 personas,2016,308.6
01 Andalucía,Entre 76 y 105 m2,4 personas,2015,278.4
01 Andalucía,Entre 76 y 105 m2,4 personas,2014,279.2
01 Andalucía,Entre 76 y 105 m2,4 personas,2013,276.5
01 Andalucía,Entre 76 y 105 m2,5 personas,2020,59.1
01 Andalucía,Entre 76 y 105 m2,5 personas,2019,61.5
01 Andalucía,Entre 76 y 105 m2,5 personas,2018,65.0
01 Andalucía,Entre 76 y 105 m2,5 personas,2017,70.0
01 Andalucía,Entre 76 y 105 m2,5 personas,2016,66.5
01 Andalucía,Entre 76 y 105 m2,5 personas,2015,68.1
01 Andalucía,Entre 76 y 105 m2,5 personas,2014,64.2
01 Andalucía,Entre 76 y 105 m2,5 personas,2013,67.0
01 Andalucía,Entre 76 y 105 m2,6 personas,2020,17.6
01 Andalucía,Entre 76 y 105 m2,6 personas,2019,14.3
01 Andalucía,Entre 76 y 105 m2,6 personas,2018,12.3
01 Andalucía,Entre 76 y 105 m2,6 personas,2017,9.8
01 Andalucía,Entre 76 y 105 m2,6 personas,2016,12.8
01 Andalucía,Entre 76 y 105 m2,6 personas,2015,14.1
01 Andalucía,Entre 76 y 105 m2,6 personas,2014,9.3
01 Andalucía,Entre 76 y 105 m2,6 personas,2013,9.4
01 Andalucía,Entre 76 y 105 m2,7 personas,2020,2.7
01 Andalucía,Entre 76 y 105 m2,7 personas,2019,6.9
01 Andalucía,Entre 76 y 105 m2,7 personas,2018,6.3
01 Andalucía,Entre 76 y 105 m2,7 personas,2017,2.2
01 Andalucía,Entre 76 y 105 m2,7 personas,2016,1.7
01 Andalucía,Entre 76 y 105 m2,7 personas,2015,2.0
01 Andalucía,Entre 76 y 105 m2,7 personas,2014,4.9
01 Andalucía,Entre 76 y 105 m2,7 personas,2013,2.7
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2020,3.2
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2019,1.6
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2018,1.7
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2017,1.3
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2016,1.5
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2015,1.7
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2014,1.1
01 Andalucía,Entre 76 y 105 m2,8 personas o más,2013,1.0
01 Andalucía,Entre 106 y 150 m2,Total,2020,660.9
01 Andalucía,Entre 106 y 150 m2,Total,2019,649.3
01 Andalucía,Entre 106 y 150 m2,Total,2018,669.9
01 Andalucía,Entre 106 y 150 m2,Total,2017,633.3
01 Andalucía,Entre 106 y 150 m2,Total,2016,638.9
01 Andalucía,Entre 106 y 150 m2,Total,2015,616.7
01 Andalucía,Entre 106 y 150 m2,Total,2014,645.6
01 Andalucía,Entre 106 y 150 m2,Total,2013,617.6
01 Andalucía,Entre 106 y 150 m2,1 persona,2020,114.3
01 Andalucía,Entre 106 y 150 m2,1 persona,2019,119.0
01 Andalucía,Entre 106 y 150 m2,1 persona,2018,111.8
01 Andalucía,Entre 106 y 150 m2,1 persona,2017,122.8
01 Andalucía,Entre 106 y 150 m2,1 persona,2016,112.4
01 Andalucía,Entre 106 y 150 m2,1 persona,2015,105.7
01 Andalucía,Entre 106 y 150 m2,1 persona,2014,90.8
01 Andalucía,Entre 106 y 150 m2,1 persona,2013,90.1
01 Andalucía,Entre 106 y 150 m2,2 personas,2020,184.4
01 Andalucía,Entre 106 y 150 m2,2 personas,2019,193.8
01 Andalucía,Entre 106 y 150 m2,2 personas,2018,193.9
01 Andalucía,Entre 106 y 150 m2,2 personas,2017,176.8
01 Andalucía,Entre 106 y 150 m2,2 personas,2016,177.3
01 Andalucía,Entre 106 y 150 m2,2 personas,2015,156.2
01 Andalucía,Entre 106 y 150 m2,2 personas,2014,196.8
01 Andalucía,Entre 106 y 150 m2,2 personas,2013,164.0
01 Andalucía,Entre 106 y 150 m2,3 personas,2020,162.6
01 Andalucía,Entre 106 y 150 m2,3 personas,2019,134.6
01 Andalucía,Entre 106 y 150 m2,3 personas,2018,158.8
01 Andalucía,Entre 106 y 150 m2,3 personas,2017,135.4
01 Andalucía,Entre 106 y 150 m2,3 personas,2016,148.8
01 Andalucía,Entre 106 y 150 m2,3 personas,2015,142.5
01 Andalucía,Entre 106 y 150 m2,3 personas,2014,131.5
01 Andalucía,Entre 106 y 150 m2,3 personas,2013,153.6
01 Andalucía,Entre 106 y 150 m2,4 personas,2020,148.2
01 Andalucía,Entre 106 y 150 m2,4 personas,2019,157.0
01 Andalucía,Entre 106 y 150 m2,4 personas,2018,157.9
01 Andalucía,Entre 106 y 150 m2,4 personas,2017,149.6
01 Andalucía,Entre 106 y 150 m2,4 personas,2016,142.5
01 Andalucía,Entre 106 y 150 m2,4 personas,2015,161.4
01 Andalucía,Entre 106 y 150 m2,4 personas,2014,168.1
01 Andalucía,Entre 106 y 150 m2,4 personas,2013,153.2
01 Andalucía,Entre 106 y 150 m2,5 personas,2020,33.5
01 Andalucía,Entre 106 y 150 m2,5 personas,2019,32.4
01 Andalucía,Entre 106 y 150 m2,5 personas,2018,38.2
01 Andalucía,Entre 106 y 150 m2,5 personas,2017,37.8
01 Andalucía,Entre 106 y 150 m2,5 personas,2016,45.7
01 Andalucía,Entre 106 y 150 m2,5 personas,2015,41.7
01 Andalucía,Entre 106 y 150 m2,5 personas,2014,40.3
01 Andalucía,Entre 106 y 150 m2,5 personas,2013,44.8
01 Andalucía,Entre 106 y 150 m2,6 personas,2020,9.0
01 Andalucía,Entre 106 y 150 m2,6 personas,2019,6.5
01 Andalucía,Entre 106 y 150 m2,6 personas,2018,6.3
01 Andalucía,Entre 106 y 150 m2,6 personas,2017,7.4
01 Andalucía,Entre 106 y 150 m2,6 personas,2016,7.7
01 Andalucía,Entre 106 y 150 m2,6 personas,2015,7.5
01 Andalucía,Entre 106 y 150 m2,6 personas,2014,13.2
01 Andalucía,Entre 106 y 150 m2,6 personas,2013,9.6
01 Andalucía,Entre 106 y 150 m2,7 personas,2020,5.8
01 Andalucía,Entre 106 y 150 m2,7 personas,2019,4.5
01 Andalucía,Entre 106 y 150 m2,7 personas,2018,1.4
01 Andalucía,Entre 106 y 150 m2,7 personas,2017,2.9
01 Andalucía,Entre 106 y 150 m2,7 personas,2016,1.4
01 Andalucía,Entre 106 y 150 m2,7 personas,2015,1.0
01 Andalucía,Entre 106 y 150 m2,7 personas,2014,3.5
01 Andalucía,Entre 106 y 150 m2,7 personas,2013,1.7
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2020,3.0
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2019,1.6
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2018,1.6
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2017,0.7
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2016,2.9
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2015,0.8
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2014,1.4
01 Andalucía,Entre 106 y 150 m2,8 personas o más,2013,0.5
01 Andalucía,Más de 150 m2,Total,2020,340.1
01 Andalucía,Más de 150 m2,Total,2019,335.3
01 Andalucía,Más de 150 m2,Total,2018,295.3
01 Andalucía,Más de 150 m2,Total,2017,306.7
01 Andalucía,Más de 150 m2,Total,2016,349.0
01 Andalucía,Más de 150 m2,Total,2015,358.4
01 Andalucía,Más de 150 m2,Total,2014,359.7
01 Andalucía,Más de 150 m2,Total,2013,315.4
01 Andalucía,Más de 150 m2,1 persona,2020,63.5
01 Andalucía,Más de 150 m2,1 persona,2019,53.3
01 Andalucía,Más de 150 m2,1 persona,2018,45.1
01 Andalucía,Más de 150 m2,1 persona,2017,47.7
01 Andalucía,Más de 150 m2,1 persona,2016,52.9
01 Andalucía,Más de 150 m2,1 persona,2015,45.3
01 Andalucía,Más de 150 m2,1 persona,2014,50.1
01 Andalucía,Más de 150 m2,1 persona,2013,43.6
01 Andalucía,Más de 150 m2,2 personas,2020,99.7
01 Andalucía,Más de 150 m2,2 personas,2019,89.8
01 Andalucía,Más de 150 m2,2 personas,2018,85.7
01 Andalucía,Más de 150 m2,2 personas,2017,95.3
01 Andalucía,Más de 150 m2,2 personas,2016,109.0
01 Andalucía,Más de 150 m2,2 personas,2015,102.3
01 Andalucía,Más de 150 m2,2 personas,2014,103.3
01 Andalucía,Más de 150 m2,2 personas,2013,93.3
01 Andalucía,Más de 150 m2,3 personas,2020,66.8
01 Andalucía,Más de 150 m2,3 personas,2019,73.2
01 Andalucía,Más de 150 m2,3 personas,2018,59.6
01 Andalucía,Más de 150 m2,3 personas,2017,62.3
01 Andalucía,Más de 150 m2,3 personas,2016,71.1
01 Andalucía,Más de 150 m2,3 personas,2015,75.7
01 Andalucía,Más de 150 m2,3 personas,2014,82.0
01 Andalucía,Más de 150 m2,3 personas,2013,69.3
01 Andalucía,Más de 150 m2,4 personas,2020,80.3
01 Andalucía,Más de 150 m2,4 personas,2019,84.8
01 Andalucía,Más de 150 m2,4 personas,2018,74.5
01 Andalucía,Más de 150 m2,4 personas,2017,72.1
01 Andalucía,Más de 150 m2,4 personas,2016,78.9
01 Andalucía,Más de 150 m2,4 personas,2015,95.0
01 Andalucía,Más de 150 m2,4 personas,2014,84.2
01 Andalucía,Más de 150 m2,4 personas,2013,73.4
01 Andalucía,Más de 150 m2,5 personas,2020,18.1
01 Andalucía,Más de 150 m2,5 personas,2019,25.4
01 Andalucía,Más de 150 m2,5 personas,2018,24.4
01 Andalucía,Más de 150 m2,5 personas,2017,22.1
01 Andalucía,Más de 150 m2,5 personas,2016,27.6
01 Andalucía,Más de 150 m2,5 personas,2015,30.9
01 Andalucía,Más de 150 m2,5 personas,2014,31.1
01 Andalucía,Más de 150 m2,5 personas,2013,23.1
01 Andalucía,Más de 150 m2,6 personas,2020,8.2
01 Andalucía,Más de 150 m2,6 personas,2019,4.9
01 Andalucía,Más de 150 m2,6 personas,2018,3.7
01 Andalucía,Más de 150 m2,6 personas,2017,5.1
01 Andalucía,Más de 150 m2,6 personas,2016,8.4
01 Andalucía,Más de 150 m2,6 personas,2015,5.9
01 Andalucía,Más de 150 m2,6 personas,2014,7.4
01 Andalucía,Más de 150 m2,6 personas,2013,10.4
01 Andalucía,Más de 150 m2,7 personas,2020,3.6
01 Andalucía,Más de 150 m2,7 personas,2019,2.6
01 Andalucía,Más de 150 m2,7 personas,2018,0.7
01 Andalucía,Más de 150 m2,7 personas,2017,1.7
01 Andalucía,Más de 150 m2,7 personas,2016,0.4
01 Andalucía,Más de 150 m2,7 personas,2015,1.4
01 Andalucía,Más de 150 m2,7 personas,2014,0.5
01 Andalucía,Más de 150 m2,7 personas,2013,1.4
01 Andalucía,Más de 150 m2,8 personas o más,2019,1.2
01 Andalucía,Más de 150 m2,8 personas o más,2018,1.6
01 Andalucía,Más de 150 m2,8 personas o más,2017,0.4
01 Andalucía,Más de 150 m2,8 personas o más,2016,0.7
01 Andalucía,Más de 150 m2,8 personas o más,2015,1.8
01 Andalucía,Más de 150 m2,8 personas o más,2014,1.1
01 Andalucía,Más de 150 m2,8 personas o más,2013,1.0
02 Aragón,Total,Total,2020,543.4
02 Aragón,Total,Total,2019,539.7
02 Aragón,Total,Total,2018,537.6
02 Aragón,Total,Total,2017,537.2
02 Aragón,Total,Total,2016,537.8
02 Aragón,Total,Total,2015,538.7
02 Aragón,Total,Total,2014,540.0
02 Aragón,Total,Total,2013,538.5
02 Aragón,Total,1 persona,2020,151.3
02 Aragón,Total,1 persona,2019,148.6
02 Aragón,Total,1 persona,2018,147.3
02 Aragón,Total,1 persona,2017,146.4
02 Aragón,Total,1 persona,2016,145.9
02 Aragón,Total,1 persona,2015,145.2
02 Aragón,Total,1 persona,2014,144.7
02 Aragón,Total,1 persona,2013,141.7
02 Aragón,Total,2 personas,2020,170.7
02 Aragón,Total,2 personas,2019,169.4
02 Aragón,Total,2 personas,2018,168.8
02 Aragón,Total,2 personas,2017,168.7
02 Aragón,Total,2 personas,2016,169.2
02 Aragón,Total,2 personas,2015,169.5
02 Aragón,Total,2 personas,2014,169.8
02 Aragón,Total,2 personas,2013,169.1
02 Aragón,Total,3 personas,2020,109.4
02 Aragón,Total,3 personas,2019,109.4
02 Aragón,Total,3 personas,2018,109.8
02 Aragón,Total,3 personas,2017,110.2
02 Aragón,Total,3 personas,2016,110.7
02 Aragón,Total,3 personas,2015,111.4
02 Aragón,Total,3 personas,2014,112.1
02 Aragón,Total,3 personas,2013,112.7
02 Aragón,Total,4 personas,2020,87.0
02 Aragón,Total,4 personas,2019,87.6
02 Aragón,Total,4 personas,2018,87.7
02 Aragón,Total,4 personas,2017,88.3
02 Aragón,Total,4 personas,2016,88.2
02 Aragón,Total,4 personas,2015,88.4
02 Aragón,Total,4 personas,2014,88.6
02 Aragón,Total,4 personas,2013,89.5
02 Aragón,Total,5 personas,2020,16.0
02 Aragón,Total,5 personas,2019,17.5
02 Aragón,Total,5 personas,2018,17.5
02 Aragón,Total,5 personas,2017,19.8
02 Aragón,Total,5 personas,2016,20.5
02 Aragón,Total,5 personas,2015,19.2
02 Aragón,Total,5 personas,2014,19.0
02 Aragón,Total,5 personas,2013,21.1
02 Aragón,Total,6 personas,2020,6.8
02 Aragón,Total,6 personas,2019,5.6
02 Aragón,Total,6 personas,2018,5.6
02 Aragón,Total,6 personas,2017,1.9
02 Aragón,Total,6 personas,2016,2.2
02 Aragón,Total,6 personas,2015,4.0
02 Aragón,Total,6 personas,2014,4.9
02 Aragón,Total,6 personas,2013,2.7
02 Aragón,Total,7 personas,2020,0.9
02 Aragón,Total,7 personas,2019,0.3
02 Aragón,Total,7 personas,2018,0.8
02 Aragón,Total,7 personas,2017,1.3
02 Aragón,Total,7 personas,2016,0.2
02 Aragón,Total,7 personas,2015,1.0
02 Aragón,Total,7 personas,2014,0.6
02 Aragón,Total,7 personas,2013,0.9
02 Aragón,Total,8 personas o más,2020,1.3
02 Aragón,Total,8 personas o más,2019,1.2
02 Aragón,Total,8 personas o más,2017,0.5
02 Aragón,Total,8 personas o más,2016,0.7
