Tipo de jornada,Comunidades y Ciudades Autónomas,Decil,Periodo,Total
Total,Total Nacional,Total decil,2023,2273.01
Total,Total Nacional,Total decil,2022,2118.79
Total,Total Nacional,Total decil,2021,2076.45
Total,Total Nacional,Total decil,2020,2038.59
Total,Total Nacional,Total decil,2019,1982.31
Total,Total Nacional,Total decil,2018,1944.42
Total,Total Nacional,Total decil,2017,1888.95
Total,Total Nacional,Total decil,2016,1878.09
Total,Total Nacional,Total decil,2015,1893.7
Total,Total Nacional,Total decil,2014,1881.32
Total,Total Nacional,Total decil,2013,1869.11
Total,Total Nacional,Total decil,2012,1850.26
Total,Total Nacional,Total decil,2011,1841.75
Total,Total Nacional,Total decil,2010,1838.82
Total,Total Nacional,Total decil,2009,1815.18
Total,Total Nacional,Total decil,2008,1774.34
Total,Total Nacional,Total decil,2007,1643.46
Total,Total Nacional,Total decil,2006,1572.59
Total,Total Nacional,1,2023,644.99
Total,Total Nacional,1,2022,619.71
Total,Total Nacional,1,2021,566.26
Total,Total Nacional,1,2020,521.33
Total,Total Nacional,1,2019,532.31
Total,Total Nacional,1,2018,479.9
Total,Total Nacional,1,2017,464.34
Total,Total Nacional,1,2016,462.72
Total,Total Nacional,1,2015,420.05
Total,Total Nacional,1,2014,411.17
Total,Total Nacional,1,2013,414.49
Total,Total Nacional,1,2012,425.57
Total,Total Nacional,1,2011,464.5
Total,Total Nacional,1,2010,482.43
Total,Total Nacional,1,2009,495.94
Total,Total Nacional,1,2008,501.25
Total,Total Nacional,1,2007,501.73
Total,Total Nacional,1,2006,474.18
Total,Total Nacional,2,2023,1209.64
Total,Total Nacional,2,2022,1132.22
Total,Total Nacional,2,2021,1033.87
Total,Total Nacional,2,2020,1006.63
Total,Total Nacional,2,2019,994.51
Total,Total Nacional,2,2018,904.87
Total,Total Nacional,2,2017,863.9
Total,Total Nacional,2,2016,856.88
Total,Total Nacional,2,2015,828.96
Total,Total Nacional,2,2014,819.61
Total,Total Nacional,2,2013,812.18
Total,Total Nacional,2,2012,840.19
Total,Total Nacional,2,2011,863.82
Total,Total Nacional,2,2010,893.11
Total,Total Nacional,2,2009,875.93
Total,Total Nacional,2,2008,888.73
Total,Total Nacional,2,2007,852.21
Total,Total Nacional,2,2006,800.67
Total,Total Nacional,3,2023,1434.13
Total,Total Nacional,3,2022,1338.81
Total,Total Nacional,3,2021,1256.84
Total,Total Nacional,3,2020,1236.99
Total,Total Nacional,3,2019,1222.45
Total,Total Nacional,3,2018,1156.51
Total,Total Nacional,3,2017,1121.9
Total,Total Nacional,3,2016,1118.31
Total,Total Nacional,3,2015,1102.14
Total,Total Nacional,3,2014,1100.85
Total,Total Nacional,3,2013,1103.32
Total,Total Nacional,3,2012,1121.65
Total,Total Nacional,3,2011,1128.86
Total,Total Nacional,3,2010,1141.96
Total,Total Nacional,3,2009,1120.03
Total,Total Nacional,3,2008,1113.37
Total,Total Nacional,3,2007,1060.66
Total,Total Nacional,3,2006,1006.02
Total,Total Nacional,4,2023,1631.57
Total,Total Nacional,4,2022,1523.08
Total,Total Nacional,4,2021,1454.95
Total,Total Nacional,4,2020,1423.4
Total,Total Nacional,4,2019,1418.13
Total,Total Nacional,4,2018,1357.44
Total,Total Nacional,4,2017,1323.0
Total,Total Nacional,4,2016,1325.36
Total,Total Nacional,4,2015,1310.96
Total,Total Nacional,4,2014,1315.48
Total,Total Nacional,4,2013,1318.7
Total,Total Nacional,4,2012,1322.12
Total,Total Nacional,4,2011,1309.99
Total,Total Nacional,4,2010,1316.31
Total,Total Nacional,4,2009,1290.22
Total,Total Nacional,4,2008,1267.34
Total,Total Nacional,4,2007,1203.8
Total,Total Nacional,4,2006,1144.23
Total,Total Nacional,5,2023,1833.97
Total,Total Nacional,5,2022,1708.65
Total,Total Nacional,5,2021,1652.67
Total,Total Nacional,5,2020,1606.91
Total,Total Nacional,5,2019,1595.3
Total,Total Nacional,5,2018,1546.73
Total,Total Nacional,5,2017,1497.73
Total,Total Nacional,5,2016,1498.22
Total,Total Nacional,5,2015,1497.67
Total,Total Nacional,5,2014,1502.97
Total,Total Nacional,5,2013,1503.02
Total,Total Nacional,5,2012,1492.68
Total,Total Nacional,5,2011,1484.84
Total,Total Nacional,5,2010,1478.49
Total,Total Nacional,5,2009,1443.59
Total,Total Nacional,5,2008,1411.69
Total,Total Nacional,5,2007,1337.14
Total,Total Nacional,5,2006,1270.35
Total,Total Nacional,6,2023,2059.54
Total,Total Nacional,6,2022,1913.09
Total,Total Nacional,6,2021,1865.71
Total,Total Nacional,6,2020,1816.81
Total,Total Nacional,6,2019,1793.56
Total,Total Nacional,6,2018,1752.61
Total,Total Nacional,6,2017,1698.01
Total,Total Nacional,6,2016,1703.87
Total,Total Nacional,6,2015,1703.73
Total,Total Nacional,6,2014,1715.14
Total,Total Nacional,6,2013,1703.65
Total,Total Nacional,6,2012,1685.43
Total,Total Nacional,6,2011,1678.8
Total,Total Nacional,6,2010,1667.4
Total,Total Nacional,6,2009,1627.28
Total,Total Nacional,6,2008,1577.72
Total,Total Nacional,6,2007,1491.6
Total,Total Nacional,6,2006,1418.54
Total,Total Nacional,7,2023,2356.69
Total,Total Nacional,7,2022,2181.84
Total,Total Nacional,7,2021,2147.95
Total,Total Nacional,7,2020,2107.38
Total,Total Nacional,7,2019,2058.48
Total,Total Nacional,7,2018,2017.4
Total,Total Nacional,7,2017,1970.29
Total,Total Nacional,7,2016,1969.37
Total,Total Nacional,7,2015,1960.42
Total,Total Nacional,7,2014,1996.68
Total,Total Nacional,7,2013,1979.18
Total,Total Nacional,7,2012,1943.47
Total,Total Nacional,7,2011,1926.53
Total,Total Nacional,7,2010,1916.64
Total,Total Nacional,7,2009,1869.76
Total,Total Nacional,7,2008,1795.61
Total,Total Nacional,7,2007,1703.23
Total,Total Nacional,7,2006,1629.36
Total,Total Nacional,8,2023,2781.79
Total,Total Nacional,8,2022,2592.84
Total,Total Nacional,8,2021,2558.2
Total,Total Nacional,8,2020,2541.41
Total,Total Nacional,8,2019,2446.63
Total,Total Nacional,8,2018,2422.04
Total,Total Nacional,8,2017,2363.15
Total,Total Nacional,8,2016,2355.0
Total,Total Nacional,8,2015,2363.55
Total,Total Nacional,8,2014,2386.34
Total,Total Nacional,8,2013,2364.47
Total,Total Nacional,8,2012,2304.23
Total,Total Nacional,8,2011,2291.51
Total,Total Nacional,8,2010,2291.37
Total,Total Nacional,8,2009,2240.02
Total,Total Nacional,8,2008,2144.92
Total,Total Nacional,8,2007,2043.02
Total,Total Nacional,8,2006,1960.29
Total,Total Nacional,9,2023,3390.61
Total,Total Nacional,9,2022,3172.78
Total,Total Nacional,9,2021,3142.94
Total,Total Nacional,9,2020,3160.32
Total,Total Nacional,9,2019,3035.46
Total,Total Nacional,9,2018,3006.17
Total,Total Nacional,9,2017,2955.46
Total,Total Nacional,9,2016,2921.88
Total,Total Nacional,9,2015,2964.23
Total,Total Nacional,9,2014,2946.62
Total,Total Nacional,9,2013,2915.77
Total,Total Nacional,9,2012,2851.55
Total,Total Nacional,9,2011,2847.54
Total,Total Nacional,9,2010,2842.26
Total,Total Nacional,9,2009,2818.47
Total,Total Nacional,9,2008,2695.83
Total,Total Nacional,9,2007,2570.05
Total,Total Nacional,9,2006,2447.82
Total,Total Nacional,10,2023,5386.69
Total,Total Nacional,10,2022,5001.97
Total,Total Nacional,10,2021,5083.75
Total,Total Nacional,10,2020,4964.01
Total,Total Nacional,10,2019,4725.47
Total,Total Nacional,10,2018,4799.61
Total,Total Nacional,10,2017,4631.17
Total,Total Nacional,10,2016,4568.68
Total,Total Nacional,10,2015,4784.5
Total,Total Nacional,10,2014,4616.94
Total,Total Nacional,10,2013,4574.92
Total,Total Nacional,10,2012,4515.01
Total,Total Nacional,10,2011,4418.37
Total,Total Nacional,10,2010,4356.53
Total,Total Nacional,10,2009,4370.12
Total,Total Nacional,10,2008,4346.26
Total,Total Nacional,10,2007,3670.83
Total,Total Nacional,10,2006,3573.7
Total,01 Andalucía,Total decil,2023,2100.74
Total,01 Andalucía,Total decil,2022,1906.75
Total,01 Andalucía,Total decil,2021,1864.47
Total,01 Andalucía,Total decil,2020,1837.33
Total,01 Andalucía,Total decil,2019,1773.03
Total,01 Andalucía,Total decil,2018,1748.97
Total,01 Andalucía,Total decil,2017,1681.31
Total,01 Andalucía,Total decil,2016,1686.4
Total,01 Andalucía,Total decil,2015,1653.89
Total,01 Andalucía,Total decil,2014,1645.51
Total,01 Andalucía,Total decil,2013,1645.35
Total,01 Andalucía,Total decil,2012,1638.96
Total,01 Andalucía,Total decil,2011,1676.98
Total,01 Andalucía,Total decil,2010,1658.84
Total,01 Andalucía,Total decil,2009,1659.85
Total,01 Andalucía,Total decil,2008,1601.81
Total,01 Andalucía,Total decil,2007,1512.69
Total,01 Andalucía,Total decil,2006,1444.01
Total,01 Andalucía,1,2023,662.49
Total,01 Andalucía,1,2022,627.66
Total,01 Andalucía,1,2021,566.75
Total,01 Andalucía,1,2020,533.04
Total,01 Andalucía,1,2019,535.08
Total,01 Andalucía,1,2018,495.01
Total,01 Andalucía,1,2017,451.94
Total,01 Andalucía,1,2016,460.23
Total,01 Andalucía,1,2015,432.86
Total,01 Andalucía,1,2014,402.1
Total,01 Andalucía,1,2013,406.34
Total,01 Andalucía,1,2012,427.97
Total,01 Andalucía,1,2011,471.79
Total,01 Andalucía,1,2010,489.14
Total,01 Andalucía,1,2009,511.11
Total,01 Andalucía,1,2008,504.4
Total,01 Andalucía,1,2007,504.83
Total,01 Andalucía,1,2006,472.84
Total,01 Andalucía,2,2023,1200.18
Total,01 Andalucía,2,2022,1136.28
Total,01 Andalucía,2,2021,1031.6
Total,01 Andalucía,2,2020,998.4
Total,01 Andalucía,2,2019,992.45
Total,01 Andalucía,2,2018,899.26
Total,01 Andalucía,2,2017,862.95
Total,01 Andalucía,2,2016,852.25
Total,01 Andalucía,2,2015,827.01
Total,01 Andalucía,2,2014,821.22
Total,01 Andalucía,2,2013,807.81
Total,01 Andalucía,2,2012,834.6
Total,01 Andalucía,2,2011,860.78
Total,01 Andalucía,2,2010,894.92
Total,01 Andalucía,2,2009,871.22
Total,01 Andalucía,2,2008,886.73
Total,01 Andalucía,2,2007,845.29
Total,01 Andalucía,2,2006,797.0
Total,01 Andalucía,3,2023,1434.5
Total,01 Andalucía,3,2022,1340.54
Total,01 Andalucía,3,2021,1256.36
Total,01 Andalucía,3,2020,1234.85
Total,01 Andalucía,3,2019,1223.13
Total,01 Andalucía,3,2018,1149.48
Total,01 Andalucía,3,2017,1113.9
Total,01 Andalucía,3,2016,1108.28
Total,01 Andalucía,3,2015,1098.03
Total,01 Andalucía,3,2014,1101.22
Total,01 Andalucía,3,2013,1103.58
Total,01 Andalucía,3,2012,1118.12
Total,01 Andalucía,3,2011,1124.11
Total,01 Andalucía,3,2010,1141.7
Total,01 Andalucía,3,2009,1119.65
Total,01 Andalucía,3,2008,1116.66
Total,01 Andalucía,3,2007,1059.33
Total,01 Andalucía,3,2006,1006.5
Total,01 Andalucía,4,2023,1631.97
Total,01 Andalucía,4,2022,1521.42
Total,01 Andalucía,4,2021,1449.73
Total,01 Andalucía,4,2020,1421.48
Total,01 Andalucía,4,2019,1414.48
Total,01 Andalucía,4,2018,1360.43
Total,01 Andalucía,4,2017,1324.33
Total,01 Andalucía,4,2016,1324.25
Total,01 Andalucía,4,2015,1312.27
Total,01 Andalucía,4,2014,1314.87
Total,01 Andalucía,4,2013,1316.86
Total,01 Andalucía,4,2012,1316.55
Total,01 Andalucía,4,2011,1307.19
Total,01 Andalucía,4,2010,1318.6
Total,01 Andalucía,4,2009,1287.89
Total,01 Andalucía,4,2008,1270.61
Total,01 Andalucía,4,2007,1203.88
Total,01 Andalucía,4,2006,1142.87
Total,01 Andalucía,5,2023,1831.82
Total,01 Andalucía,5,2022,1706.6
Total,01 Andalucía,5,2021,1655.11
Total,01 Andalucía,5,2020,1604.29
Total,01 Andalucía,5,2019,1597.11
Total,01 Andalucía,5,2018,1544.71
Total,01 Andalucía,5,2017,1500.47
Total,01 Andalucía,5,2016,1500.45
Total,01 Andalucía,5,2015,1500.94
Total,01 Andalucía,5,2014,1502.71
Total,01 Andalucía,5,2013,1501.04
Total,01 Andalucía,5,2012,1496.77
Total,01 Andalucía,5,2011,1484.84
Total,01 Andalucía,5,2010,1475.97
Total,01 Andalucía,5,2009,1443.06
Total,01 Andalucía,5,2008,1413.33
Total,01 Andalucía,5,2007,1335.92
Total,01 Andalucía,5,2006,1268.23
Total,01 Andalucía,6,2023,2059.76
Total,01 Andalucía,6,2022,1907.8
Total,01 Andalucía,6,2021,1857.8
Total,01 Andalucía,6,2020,1809.86
Total,01 Andalucía,6,2019,1794.96
Total,01 Andalucía,6,2018,1748.9
Total,01 Andalucía,6,2017,1692.59
Total,01 Andalucía,6,2016,1704.17
Total,01 Andalucía,6,2015,1697.21
Total,01 Andalucía,6,2014,1708.18
Total,01 Andalucía,6,2013,1702.09
Total,01 Andalucía,6,2012,1679.15
Total,01 Andalucía,6,2011,1674.78
Total,01 Andalucía,6,2010,1663.9
Total,01 Andalucía,6,2009,1619.79
Total,01 Andalucía,6,2008,1573.12
Total,01 Andalucía,6,2007,1487.2
Total,01 Andalucía,6,2006,1415.69
Total,01 Andalucía,7,2023,2354.3
Total,01 Andalucía,7,2022,2177.54
Total,01 Andalucía,7,2021,2144.12
Total,01 Andalucía,7,2020,2103.78
Total,01 Andalucía,7,2019,2064.47
Total,01 Andalucía,7,2018,2016.21
Total,01 Andalucía,7,2017,1980.99
Total,01 Andalucía,7,2016,1971.9
Total,01 Andalucía,7,2015,1961.44
Total,01 Andalucía,7,2014,1993.43
Total,01 Andalucía,7,2013,1986.18
Total,01 Andalucía,7,2012,1935.24
Total,01 Andalucía,7,2011,1926.51
Total,01 Andalucía,7,2010,1918.82
Total,01 Andalucía,7,2009,1860.32
Total,01 Andalucía,7,2008,1793.82
Total,01 Andalucía,7,2007,1707.47
Total,01 Andalucía,7,2006,1628.45
Total,01 Andalucía,8,2023,2774.49
Total,01 Andalucía,8,2022,2595.55
Total,01 Andalucía,8,2021,2563.96
Total,01 Andalucía,8,2020,2546.27
Total,01 Andalucía,8,2019,2443.69
Total,01 Andalucía,8,2018,2429.26
Total,01 Andalucía,8,2017,2361.45
Total,01 Andalucía,8,2016,2347.81
Total,01 Andalucía,8,2015,2367.67
Total,01 Andalucía,8,2014,2377.97
Total,01 Andalucía,8,2013,2347.66
Total,01 Andalucía,8,2012,2295.96
Total,01 Andalucía,8,2011,2285.48
Total,01 Andalucía,8,2010,2288.07
Total,01 Andalucía,8,2009,2243.15
Total,01 Andalucía,8,2008,2153.44
Total,01 Andalucía,8,2007,2047.07
Total,01 Andalucía,8,2006,1964.41
Total,01 Andalucía,9,2023,3378.12
Total,01 Andalucía,9,2022,3152.27
Total,01 Andalucía,9,2021,3105.69
Total,01 Andalucía,9,2020,3157.22
Total,01 Andalucía,9,2019,3019.5
Total,01 Andalucía,9,2018,2988.49
Total,01 Andalucía,9,2017,2967.0
Total,01 Andalucía,9,2016,2908.1
Total,01 Andalucía,9,2015,2956.42
Total,01 Andalucía,9,2014,2937.85
Total,01 Andalucía,9,2013,2908.01
Total,01 Andalucía,9,2012,2860.77
Total,01 Andalucía,9,2011,2856.77
Total,01 Andalucía,9,2010,2849.52
Total,01 Andalucía,9,2009,2837.1
Total,01 Andalucía,9,2008,2699.37
Total,01 Andalucía,9,2007,2561.08
Total,01 Andalucía,9,2006,2450.99
Total,01 Andalucía,10,2023,5379.29
Total,01 Andalucía,10,2022,4832.05
Total,01 Andalucía,10,2021,4936.02
Total,01 Andalucía,10,2020,4833.28
Total,01 Andalucía,10,2019,4479.56
Total,01 Andalucía,10,2018,4567.14
Total,01 Andalucía,10,2017,4467.06
Total,01 Andalucía,10,2016,4381.21
Total,01 Andalucía,10,2015,4448.36
Total,01 Andalucía,10,2014,4506.45
Total,01 Andalucía,10,2013,4460.35
Total,01 Andalucía,10,2012,4345.4
Total,01 Andalucía,10,2011,4279.44
Total,01 Andalucía,10,2010,4235.27
Total,01 Andalucía,10,2009,4213.04
Total,01 Andalucía,10,2008,4096.56
Total,01 Andalucía,10,2007,3580.99
Total,01 Andalucía,10,2006,3423.0
Total,02 Aragón,Total decil,2023,2243.79
Total,02 Aragón,Total decil,2022,2040.78
Total,02 Aragón,Total decil,2021,1975.33
Total,02 Aragón,Total decil,2020,1972.37
Total,02 Aragón,Total decil,2019,1958.4
Total,02 Aragón,Total decil,2018,1951.39
Total,02 Aragón,Total decil,2017,1906.44
Total,02 Aragón,Total decil,2016,1824.57
Total,02 Aragón,Total decil,2015,1938.59
Total,02 Aragón,Total decil,2014,1875.24
Total,02 Aragón,Total decil,2013,1842.71
Total,02 Aragón,Total decil,2012,1887.41
Total,02 Aragón,Total decil,2011,1870.55
Total,02 Aragón,Total decil,2010,1894.43
Total,02 Aragón,Total decil,2009,1904.8
Total,02 Aragón,Total decil,2008,1819.98
Total,02 Aragón,Total decil,2007,1716.72
Total,02 Aragón,Total decil,2006,1631.7
Total,02 Aragón,1,2023,686.53
Total,02 Aragón,1,2022,590.67
Total,02 Aragón,1,2021,581.01
Total,02 Aragón,1,2020,510.13
Total,02 Aragón,1,2019,507.39
Total,02 Aragón,1,2018,483.31
Total,02 Aragón,1,2017,456.2
Total,02 Aragón,1,2016,485.84
Total,02 Aragón,1,2015,460.13
Total,02 Aragón,1,2014,398.99
Total,02 Aragón,1,2013,435.8
Total,02 Aragón,1,2012,457.63
Total,02 Aragón,1,2011,494.07
Total,02 Aragón,1,2010,480.05
Total,02 Aragón,1,2009,502.55
Total,02 Aragón,1,2008,506.74
Total,02 Aragón,1,2007,492.01
Total,02 Aragón,1,2006,464.63
Total,02 Aragón,2,2023,1222.29
Total,02 Aragón,2,2022,1137.46
Total,02 Aragón,2,2021,1017.01
Total,02 Aragón,2,2020,998.99
Total,02 Aragón,2,2019,990.09
Total,02 Aragón,2,2018,886.49
Total,02 Aragón,2,2017,854.64
Total,02 Aragón,2,2016,852.97
Total,02 Aragón,2,2015,830.25
Total,02 Aragón,2,2014,836.02
Total,02 Aragón,2,2013,807.07
Total,02 Aragón,2,2012,830.88
Total,02 Aragón,2,2011,879.6
Total,02 Aragón,2,2010,886.11
Total,02 Aragón,2,2009,868.38
Total,02 Aragón,2,2008,888.34
Total,02 Aragón,2,2007,829.08
Total,02 Aragón,2,2006,806.95
Total,02 Aragón,3,2023,1438.34
Total,02 Aragón,3,2022,1337.56
Total,02 Aragón,3,2021,1259.03
Total,02 Aragón,3,2020,1244.02
Total,02 Aragón,3,2019,1215.93
Total,02 Aragón,3,2018,1160.44
Total,02 Aragón,3,2017,1129.41
Total,02 Aragón,3,2016,1127.19
Total,02 Aragón,3,2015,1102.26
Total,02 Aragón,3,2014,1102.34
Total,02 Aragón,3,2013,1105.95
Total,02 Aragón,3,2012,1117.21
Total,02 Aragón,3,2011,1129.94
Total,02 Aragón,3,2010,1145.22
Total,02 Aragón,3,2009,1118.7
Total,02 Aragón,3,2008,1119.35
Total,02 Aragón,3,2007,1059.85
Total,02 Aragón,3,2006,1007.54
Total,02 Aragón,4,2023,1634.5
Total,02 Aragón,4,2022,1525.05
Total,02 Aragón,4,2021,1455.78
Total,02 Aragón,4,2020,1422.84
Total,02 Aragón,4,2019,1424.89
Total,02 Aragón,4,2018,1364.85
Total,02 Aragón,4,2017,1326.9
Total,02 Aragón,4,2016,1325.06
Total,02 Aragón,4,2015,1306.44
Total,02 Aragón,4,2014,1326.34
Total,02 Aragón,4,2013,1315.18
Total,02 Aragón,4,2012,1320.74
Total,02 Aragón,4,2011,1301.91
Total,02 Aragón,4,2010,1309.88
Total,02 Aragón,4,2009,1288.68
Total,02 Aragón,4,2008,1266.29
Total,02 Aragón,4,2007,1206.97
Total,02 Aragón,4,2006,1147.04
Total,02 Aragón,5,2023,1844.14
Total,02 Aragón,5,2022,1706.75
Total,02 Aragón,5,2021,1643.64
Total,02 Aragón,5,2020,1607.03
Total,02 Aragón,5,2019,1594.67
Total,02 Aragón,5,2018,1535.39
Total,02 Aragón,5,2017,1497.07
Total,02 Aragón,5,2016,1501.18
Total,02 Aragón,5,2015,1494.84
Total,02 Aragón,5,2014,1510.37
Total,02 Aragón,5,2013,1500.04
Total,02 Aragón,5,2012,1494.99
Total,02 Aragón,5,2011,1475.39
Total,02 Aragón,5,2010,1485.69
Total,02 Aragón,5,2009,1444.1
Total,02 Aragón,5,2008,1404.02
Total,02 Aragón,5,2007,1341.53
Total,02 Aragón,5,2006,1274.19
Total,02 Aragón,6,2023,2055.37
Total,02 Aragón,6,2022,1911.26
Total,02 Aragón,6,2021,1862.88
Total,02 Aragón,6,2020,1824.17
Total,02 Aragón,6,2019,1789.25
Total,02 Aragón,6,2018,1757.2
Total,02 Aragón,6,2017,1707.62
Total,02 Aragón,6,2016,1700.15
Total,02 Aragón,6,2015,1696.09
Total,02 Aragón,6,2014,1724.77
Total,02 Aragón,6,2013,1704.75
Total,02 Aragón,6,2012,1693.53
Total,02 Aragón,6,2011,1682.74
Total,02 Aragón,6,2010,1671.56
Total,02 Aragón,6,2009,1625.5
Total,02 Aragón,6,2008,1580.96
Total,02 Aragón,6,2007,1492.28
Total,02 Aragón,6,2006,1419.03
Total,02 Aragón,7,2023,2348.21
Total,02 Aragón,7,2022,2191.14
Total,02 Aragón,7,2021,2150.84
Total,02 Aragón,7,2020,2107.14
Total,02 Aragón,7,2019,2049.77
Total,02 Aragón,7,2018,2012.4
Total,02 Aragón,7,2017,1955.28
Total,02 Aragón,7,2016,1978.83
Total,02 Aragón,7,2015,1974.81
Total,02 Aragón,7,2014,1992.95
Total,02 Aragón,7,2013,1979.3
Total,02 Aragón,7,2012,1928.08
Total,02 Aragón,7,2011,1921.06
Total,02 Aragón,7,2010,1905.37
Total,02 Aragón,7,2009,1859.63
Total,02 Aragón,7,2008,1798.44
Total,02 Aragón,7,2007,1701.68
Total,02 Aragón,7,2006,1624.7
Total,02 Aragón,8,2023,2762.5
Total,02 Aragón,8,2022,2586.53
Total,02 Aragón,8,2021,2528.1
Total,02 Aragón,8,2020,2528.33
Total,02 Aragón,8,2019,2468.39
Total,02 Aragón,8,2018,2412.44
Total,02 Aragón,8,2017,2380.71
Total,02 Aragón,8,2016,2354.21
Total,02 Aragón,8,2015,2352.92
Total,02 Aragón,8,2014,2396.24
Total,02 Aragón,8,2013,2365.8
Total,02 Aragón,8,2012,2300.99
Total,02 Aragón,8,2011,2293.77
Total,02 Aragón,8,2010,2283.85
Total,02 Aragón,8,2009,2220.67
Total,02 Aragón,8,2008,2127.07
Total,02 Aragón,8,2007,2051.02
Total,02 Aragón,8,2006,1968.55
Total,02 Aragón,9,2023,3355.73
Total,02 Aragón,9,2022,3158.6
Total,02 Aragón,9,2021,3147.34
Total,02 Aragón,9,2020,3138.61
Total,02 Aragón,9,2019,2997.01
Total,02 Aragón,9,2018,2981.99
Total,02 Aragón,9,2017,2952.25
Total,02 Aragón,9,2016,2896.88
Total,02 Aragón,9,2015,2964.46
Total,02 Aragón,9,2014,2931.32
Total,02 Aragón,9,2013,2910.23
Total,02 Aragón,9,2012,2861.49
Total,02 Aragón,9,2011,2853.83
Total,02 Aragón,9,2010,2843.01
Total,02 Aragón,9,2009,2810.36
Total,02 Aragón,9,2008,2648.0
Total,02 Aragón,9,2007,2565.95
Total,02 Aragón,9,2006,2432.48
Total,02 Aragón,10,2023,5272.45
Total,02 Aragón,10,2022,5113.83
Total,02 Aragón,10,2021,5074.24
Total,02 Aragón,10,2020,5054.77
Total,02 Aragón,10,2019,4483.23
Total,02 Aragón,10,2018,4736.25
Total,02 Aragón,10,2017,4640.09
Total,02 Aragón,10,2016,4480.04
Total,02 Aragón,10,2015,4613.84
Total,02 Aragón,10,2014,4579.36
Total,02 Aragón,10,2013,4492.6
Total,02 Aragón,10,2012,4415.53
Total,02 Aragón,10,2011,4512.25
Total,02 Aragón,10,2010,4466.43
Total,02 Aragón,10,2009,4359.95
Total,02 Aragón,10,2008,4355.36
Total,02 Aragón,10,2007,3667.06
Total,02 Aragón,10,2006,3545.07
Total,"03 Asturias, Principado de",Total decil,2023,2228.49
Total,"03 Asturias, Principado de",Total decil,2022,2096.68
Total,"03 Asturias, Principado de",Total decil,2021,2083.62
Total,"03 Asturias, Principado de",Total decil,2020,2161.47
Total,"03 Asturias, Principado de",Total decil,2019,2078.32
Total,"03 Asturias, Principado de",Total decil,2018,1977.08
Total,"03 Asturias, Principado de",Total decil,2017,1958.28
Total,"03 Asturias, Principado de",Total decil,2016,1957.31
Total,"03 Asturias, Principado de",Total decil,2015,1957.25
Total,"03 Asturias, Principado de",Total decil,2014,1907.82
Total,"03 Asturias, Principado de",Total decil,2013,1956.6
Total,"03 Asturias, Principado de",Total decil,2012,1908.29
Total,"03 Asturias, Principado de",Total decil,2011,1914.63
Total,"03 Asturias, Principado de",Total decil,2010,1897.29
Total,"03 Asturias, Principado de",Total decil,2009,1842.01
Total,"03 Asturias, Principado de",Total decil,2008,1747.84
Total,"03 Asturias, Principado de",Total decil,2007,1715.22
Total,"03 Asturias, Principado de",Total decil,2006,1578.34
Total,"03 Asturias, Principado de",1,2023,654.08
Total,"03 Asturias, Principado de",1,2022,626.67
Total,"03 Asturias, Principado de",1,2021,545.62
Total,"03 Asturias, Principado de",1,2020,494.06
Total,"03 Asturias, Principado de",1,2019,559.49
Total,"03 Asturias, Principado de",1,2018,492.57
Total,"03 Asturias, Principado de",1,2017,483.11
Total,"03 Asturias, Principado de",1,2016,472.12
Total,"03 Asturias, Principado de",1,2015,426.84
Total,"03 Asturias, Principado de",1,2014,370.3
Total,"03 Asturias, Principado de",1,2013,390.06
Total,"03 Asturias, Principado de",1,2012,403.72
Total,"03 Asturias, Principado de",1,2011,450.43
Total,"03 Asturias, Principado de",1,2010,514.57
Total,"03 Asturias, Principado de",1,2009,491.1
Total,"03 Asturias, Principado de",1,2008,504.35
Total,"03 Asturias, Principado de",1,2007,483.79
Total,"03 Asturias, Principado de",1,2006,445.99
Total,"03 Asturias, Principado de",2,2023,1206.59
Total,"03 Asturias, Principado de",2,2022,1125.72
Total,"03 Asturias, Principado de",2,2021,1036.62
Total,"03 Asturias, Principado de",2,2020,1022.1
Total,"03 Asturias, Principado de",2,2019,980.27
Total,"03 Asturias, Principado de",2,2018,912.05
Total,"03 Asturias, Principado de",2,2017,841.86
Total,"03 Asturias, Principado de",2,2016,851.52
Total,"03 Asturias, Principado de",2,2015,837.29
Total,"03 Asturias, Principado de",2,2014,797.34
Total,"03 Asturias, Principado de",2,2013,794.71
Total,"03 Asturias, Principado de",2,2012,841.24
Total,"03 Asturias, Principado de",2,2011,859.72
Total,"03 Asturias, Principado de",2,2010,903.47
Total,"03 Asturias, Principado de",2,2009,889.2
Total,"03 Asturias, Principado de",2,2008,899.18
Total,"03 Asturias, Principado de",2,2007,858.12
Total,"03 Asturias, Principado de",2,2006,796.1
Total,"03 Asturias, Principado de",3,2023,1426.68
Total,"03 Asturias, Principado de",3,2022,1338.99
Total,"03 Asturias, Principado de",3,2021,1250.55
Total,"03 Asturias, Principado de",3,2020,1242.68
Total,"03 Asturias, Principado de",3,2019,1225.37
Total,"03 Asturias, Principado de",3,2018,1151.35
Total,"03 Asturias, Principado de",3,2017,1119.27
Total,"03 Asturias, Principado de",3,2016,1126.75
Total,"03 Asturias, Principado de",3,2015,1088.78
Total,"03 Asturias, Principado de",3,2014,1088.06
Total,"03 Asturias, Principado de",3,2013,1099.0
Total,"03 Asturias, Principado de",3,2012,1129.12
Total,"03 Asturias, Principado de",3,2011,1123.84
Total,"03 Asturias, Principado de",3,2010,1147.42
Total,"03 Asturias, Principado de",3,2009,1119.02
